"","D01","D02","D03","D04","D05","D06","D07","D08","D09","B01","B09","B02","B10","B03","B04","B05","B06","B07","B12","B11","B08"
"bin_s10.cct36",0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.72,0.166666666666667,0.151515151515152,0,0,0.37037037037037,0,0,0,0.333333333333333
"bin_s13.cct32",0.0769230769230769,0,0.6,0,0.266666666666667,0.28,0.230769230769231,0.272727272727273,0.0833333333333333,1,0,0.96,1,0.909090909090909,0,0,0.666666666666667,0,0,0,1
"bin_s13.cct72",0,0,0,0,0.133333333333333,0,0.307692307692308,0,0.25,1,0,0.88,0.5,0.393939393939394,0,0,0.259259259259259,0,0,0,0.5
"bin_s13.mtb14",0.153846153846154,0,0,0,0.133333333333333,0,0.461538461538462,0,0.25,0.3,0,0.56,1,0.636363636363636,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s13.mtb41_sub",0,0,0,0,0.266666666666667,0,0.307692307692308,0,0.0833333333333333,0.7,0,0.88,0.5,0.575757575757576,0.0909090909090909,0,0.185185185185185,0,0,0,0.166666666666667
"bin_s13.mtb55",0,0.0384615384615385,0.2,0,0.4,0,0.384615384615385,0.181818181818182,0.0833333333333333,0,0.714285714285714,0.88,0.666666666666667,0.787878787878788,0,0,0.481481481481481,0,0,0,0.833333333333333
"bin_s13.mxb16",0,0,0.2,0,0.133333333333333,0.12,0.230769230769231,0.272727272727273,0.25,0.3,0,0.88,1,0.909090909090909,0.0909090909090909,0,0.592592592592593,0,0,0,0.833333333333333
"bin_s13.mxb21_sub",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667
"bin_s13.vmb19",0,0,0,0,0.133333333333333,0,0.384615384615385,0.272727272727273,0.0833333333333333,0.3,0,0.88,1,0.848484848484849,0,0,0.62962962962963,0,0,0,0.833333333333333
"bin_s13.vmb53",0,0,0.4,0,0,0,0.384615384615385,0,0.0833333333333333,0,0,0.88,0.666666666666667,0.515151515151515,0.0909090909090909,0,0.62962962962963,0,0,0,0.666666666666667
"bin_s14.cct55_sub",0,0,0,0,0,0,0.307692307692308,0,0.25,0,0,0,0.333333333333333,0.212121212121212,0,0,0,0,0,0,0
"bin_s14.cct6",0,0.0384615384615385,0.2,0,0.4,0,0.384615384615385,0.181818181818182,0.166666666666667,0.3,0,0.96,1,0.787878787878788,0.181818181818182,0,0.518518518518518,0,0,0,0.666666666666667
"bin_s14.cct67_sub",0.230769230769231,0.769230769230769,0.2,0,0.6,0.04,0.615384615384615,0.727272727272727,0.166666666666667,1,0,1,0.833333333333333,0.909090909090909,0.0909090909090909,0,0.740740740740741,0,0,0,0.833333333333333
"bin_s14.mtb11",0.0769230769230769,0.192307692307692,0,0,0.133333333333333,0,0.461538461538462,0,0.333333333333333,0.3,0,0.08,1,0.333333333333333,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_s14.mtb51",0,0,0,0,0.133333333333333,0,0.307692307692308,0.272727272727273,0.0833333333333333,0,0,0.8,0.666666666666667,0.484848484848485,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_s14.mtb52",0,0,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0.12,0.166666666666667,0,0,0,0.037037037037037,0,0,0,0
"bin_s14.mxb11",0,0,0.6,0,0,0.08,0.307692307692308,0,0.166666666666667,0.3,0,0.96,1,0.696969696969697,0.0909090909090909,0,0.592592592592593,0,0,0,0.833333333333333
"bin_s14.mxb14_sub",0.0769230769230769,0.192307692307692,0.4,0,0.266666666666667,0.04,0.538461538461538,0.727272727272727,0.333333333333333,0.7,0.714285714285714,0.92,1,0.787878787878788,0.272727272727273,0,0.703703703703704,0.0166666666666667,0,0,0.833333333333333
"bin_s14.mxb25_sub",0.153846153846154,0,0.6,0,0.133333333333333,0,0.307692307692308,0.181818181818182,0.25,0.3,0,0.96,1,0.787878787878788,0,0,0.296296296296296,0,0,0,0.833333333333333
"bin_s14.mxb34_sub",0,0.230769230769231,0,0,0.133333333333333,0,0.153846153846154,0,0.25,0.7,0,0.64,0.333333333333333,0.212121212121212,0,0,0.111111111111111,0,0,0,0.166666666666667
"bin_s14.vmb0",0,0,0,0,0.133333333333333,0,0,0,0,0,0,0.08,0.333333333333333,0,0,0,0,0,0,0,0
"bin_s18.mtb24_sub",0.230769230769231,0.0769230769230769,0,0,0.133333333333333,0,0.461538461538462,0,0.166666666666667,0.7,0,0.6,0.5,0.363636363636364,0.0909090909090909,0,0.407407407407407,0,0,0,0.166666666666667
