"","COLD_S2","COLD_S4","COLD_S5","COLD_S6","DIET_S5","DIET_S6","DIET_S9","HEAT_S3","HEAT_S4","HEAT_S5","HEAT_S6","POST_S4","POST_S6","POST_S9","PRE_S4","PRE_S5","PRE_S6","PRE_S2","PRE_S9","HEAT_S9","DIET_S2","POST_S5","POST_S3","HEAT_S2","POST_S2","COLD_S9","COLD_S3","PRE_S3","COLD_S10","COLD_S11","COLD_S12","COLD_S16","COLD_S18","COLD_S21","COLD_S22","COLD_S23","COLD_S24","COLD_S31","COLD_S34","COLD_S35","DIET_S10","DIET_S11","DIET_S12","DIET_S13","DIET_S14","DIET_S16","DIET_S19","DIET_S23","DIET_S24","DIET_S28","DIET_S31","DIET_S34","DIET_S35","DIET_S36","HEAT_S10","HEAT_S11","HEAT_S12","HEAT_S13","HEAT_S14","HEAT_S16","HEAT_S18","HEAT_S19","HEAT_S21","HEAT_S22","HEAT_S23","HEAT_S24","HEAT_S31","HEAT_S35","HEAT_S36","POST_S10","POST_S11","POST_S12","POST_S14","POST_S16","POST_S18","POST_S19","POST_S21","POST_S24","POST_S25","POST_S27","POST_S28","POST_S31","POST_S34","POST_S36","PRE_S10","PRE_S11","PRE_S12","PRE_S13","PRE_S14","PRE_S15","PRE_S16","PRE_S22","PRE_S24","PRE_S25","PRE_S27","PRE_S28","PRE_S29","PRE_S31","PRE_S33","PRE_S34","PRE_S35","PRE_S36","COLD_S36","PRE_S19","PRE_S23","POST_S23","POST_S13","DIET_S18","POST_S22","PRE_S18","COLD_S13","COLD_S14","PRE_S21","COLD_S27","PRE_S17","COLD_S19","HEAT_S27","COLD_S28","HEAT_S28","POST_S35"
"bin_s6.mtb27",2663.02043157625,797.767544855537,379.335480416574,6690.61017072762,30.810010639075,19382.1274768051,1743.21149836829,576.262853592027,2298.89281478466,1577.75127888757,3605.25175804574,494.895649615695,1363.30091740454,2063.50333782305,2475.81867681603,265.268730281561,24.6944248902213,16072.7740917882,36059.0999234849,6375.40692163635,852.440333356569,495.980719113061,116.135162039336,477.353634605365,2379.36729135826,14506.7669156524,819.417377095035,2038.596113453,931.545471083797,489.319827716494,1555.46103836745,2422.56873767429,417.738703250477,932.711170463959,542.209113486881,106.079597293158,6665.35060058202,269.794237483231,445.446811226637,2738.58775676627,144.455186989229,444.03624115109,685.619659473275,1327.70376179529,2841.21878702607,1188.26005830671,54.9685645429941,79.6552902921669,8236.41153120863,1113.06627121728,142.881210389373,526.683502005137,671.542701194945,155.777376270922,4118.03849261464,419.364727396438,16043.8641658416,3187.96928112242,5421.68327743627,1655.84797812534,3515.09875392551,1355.23521827627,4892.01558642892,8906.20850703083,2211.5980113438,458.951164020549,2085.21166110923,8436.24983408709,1800.03813711895,315.67671224298,102.381170972875,1942.33097434888,1216.59056687156,1199.6135147628,1322.89421744808,39.6037870792144,1843.79704936766,1405.88023739729,2950.67704742007,266.630130594184,790.855365526614,509.126851505723,404.429129680615,9334.99458909458,2315.90004186739,1186.63951970651,2410.04191061339,3363.5271054311,145.093852726631,7.94480887364957,119.42458503924,418.419136194589,22237.970211153,368.440010766747,1103.87556631339,2342.53060347073,1938.86549818391,179.575426030154,752.823405703436,22.3104295099166,50.817468527681,566.667217339217,3347.02002994756,2534.13186512641,2276.64297961133,974.001210245955,1557.93216372369,1022.95551154848,1233.71306344179,299.565942386412,11584.4902469215,1172.89418591741,1100.70856323336,710.081820003505,2234.18773456225,165.126172229872,2038.84820680521,3030.08301067385,8227.45135219177,1776.42401678831
"bin_s4.vmb43",5.98422799233784,180056.819705659,36.024877561704,3.81137741690316,423.787647435374,58.6409268572609,107.786507569924,168.903987134511,12752.4877349392,864.472715675546,89.4178015364782,436.501065209517,1013.48064330164,263.131258856558,3.821307802875,296.394268675998,47.8214753999418,25.4829616565758,555.756451227407,2806.4727503578,44.4057473939407,43.5721234341299,539.501141553617,56.0284878912606,344.504483569265,66.2534755203628,20.110987206115,2227.68230024326,1299.47217106749,8.41987912038267,42.9856826361809,15.5200547247674,68.1544092679657,241.258412263167,565.118616916243,5433.58654632808,9.31441004525069,103.252993894014,12.0234390923662,1.98285275313053,117.971865943359,2.1462471390506,56284.514558622,98.3096874027438,6.67614723643573,107.001642971592,14.124861485293,30100.0236946335,852.396011514161,92.7418094601568,205.172715400363,47.593668353625,9.76301625773798,193.473253119656,338.803872003106,154.426145815956,1.74778795511531,1112.63927061831,3.28558329984995,32.4060472667725,4218.87197874196,191.10241145459,502.558275496119,241.475215594867,46.3361410754806,154.961951778953,11.589166070846,0.772091075186212,215.229321684597,17.2819359874762,1.3941156907572,645.163311915518,621.713340902005,265.506811014601,141.385626270986,123.011780760967,3806.51789322629,354.287513890045,294.774657689585,182.396810051372,48610.0480129276,46.9373145396434,6.50733145352594,5.44040787914485,229.500269846872,61649.007504294,81.6879502592105,4410.7898580121,2.228349832716,1.94430304632012,0.779368728067413,469.501519630445,25.6179553797445,2.47032688292455,0.848186169478759,92.5056568862149,3.54885290549562,0.919149077408033,495.566459408391,0.232338173884827,92.1111137934899,549.532296521643,4.60355273175202,420.124046213803,2.97252315457505,523.131140512197,1269.55320172981,289.60106973004,95.4078182026579,11.0819922136873,190.179075251493,28.2641318155239,200.381944359264,276.392216243925,15.0749765943999,3.00033069107977,1354.88146101387,236.532403756369,221.141717608798,175.047590811244
"bin_s34.cct52",33.7705927381396,47.7238278617411,38.1865617228971,26.610662394947,131.253930892333,30.3174266096518,10.3354593084208,7.38660214058211,8.44887795287415,13.5424208438929,10.6092058947545,15.6966217819663,22.3330116248773,111.269902544591,1033.17471962403,20.8835144823444,8.04619335585634,892.677988488033,300.242613092904,17.0325664810341,23.7966659726733,98.1148673194075,13.3326891345673,5.0425201555857,96.9489901387734,31.5809817115542,42.4025257852254,8.41072626067758,96.9172637111359,17.189113504826,33.3468677630162,211.807962554383,7.58927248249563,2.0769212991207,5.3938518408094,4.08922215460472,3069.78103773335,44.5240380994566,315.16744732039,3.64317972914456,66.6266213139909,76.6571347305414,60.4814617147294,6.18590998341911,591.23900373966,65.4058887094084,5.87014250902159,3.36793322186178,292.960953001515,7.23954184306754,5.51129473145589,119.720846657149,47.8346804378615,30.6445379136263,13.5747395186611,1.99189044747305,367.408803763832,8.71372859295695,47.6651086358222,29.0168210590858,3.46011069739029,2.33413498644911,12.0838354538443,7.15601109397933,20.5972653614671,20.9676184429254,50.1195315529752,34.4009477410634,5.98640836480252,61.8046277911359,104.024064603013,18050.1492264541,13648.3740947722,15105.3654733754,5.29168906404616,7.43865129233648,607.885520822953,46639.0228330756,79428.0829078892,15.5150657255355,70.5356162374802,9974.25861446976,8305.61739706378,244.066384320096,808.085261867153,25.5285403496167,2236.81644434685,1017.38867037445,105.204217289223,2.50064549883438,144.27070793558,35.2024482313052,1703.30796843963,323.959468657148,11.0505332662731,26.6103544806701,9524.27503578699,19655.7411352524,1278.78082987718,3837.48102046553,1.25548715495938,39.0290778055095,137.145346439099,2609.47502350707,286.374833856227,46.4044260614557,153.710741439557,47.2974548687577,14.3099464299322,31.3252550883889,4.80638386026422,31.1585351750246,31.8677363234566,7.17495229013301,7.39129244587187,22.6247737805972,11.4736267175441,31.4143741582405,26.4402715056905,5.95597011980233
"bin_s36.vmb0",1806.91378450374,3660.84176739702,16629.9454927671,71567.1350821403,5403.68619138228,469.870530577461,848.915199324424,81230.8310668797,10473.1519161776,249021.400387558,94846.501707858,28727.0422417278,21495.7276686542,1100.85398745497,448.003531034159,320.625198334884,132.744329943845,1655.3165022575,871.68854959555,9998.60102955492,177.655881402244,97181.0959405298,482.5168080821,187063.866823018,4409.30830420715,30859.1010967891,25945.0859462344,76.4561645150559,57405.0156480504,3490.18952422692,68998.6670685001,60613.3588087205,7120.64214376521,1253.91133205527,1748.94194443629,1914.30499520377,15807.6176419758,499.337694315623,1142.03120622673,1252.90682066425,4036.69340968151,36825.796789618,8323.09311965538,82.7389792912181,7963.55030347337,171316.017698866,1394.4906622202,638.77314869243,27716.2558284386,254.129148560711,307.511431953189,938.807340937395,8047.41692507709,2875.57865999449,79494.9724315126,4134.23427205072,1635.58700715202,102017.313834731,461.684657811163,550897.842940776,16799.9958355775,216623.978656798,2655.10459107112,3573.09089911621,20353.2216902449,43423.5549735291,88360.0777335862,52010.7473334681,76832.5375550309,238805.667607018,257007.441311686,31288.0826929566,68791.3634320496,7629.75231517129,1228.85652281499,2376.64107294749,21038.33230707,67547.8661593632,25696.9407122812,17199.2211101208,13344.8760441109,3713.39727412656,256.328822496858,55789.0732972942,191.659118894912,1345.12287777294,534.072763488859,2843.31699917624,220.32994213298,240.970682706709,424.534799439857,22290.102069216,6182.56023259666,1205.59070599891,646.344998298791,398.812905248585,188.299664571839,292.004091145771,320.680171530106,382.849810834726,252.550212077651,1695.73121797362,44101.7419239615,123.970161048918,355.384712085586,66911.4213545056,3245.99322119764,5021.39441788283,1334.03930053169,2715.57774905923,791.207729806957,49563.4176402102,396.341271512944,1656.85771359309,111.155860991572,57977.3077073693,28388.7253855758,303.203578833344,4840.34880647365,1477.59829012674
"bin_s28.mxb31",642.84012500273,7313.90108854876,1728.06937794736,901.461527226348,1831.00245953256,365.801204723986,1874.07199864671,718.880330959051,560.679300204474,1639.18063942157,1472.27630026396,1017.61950907095,1089.22885599487,1676.68791543435,1076.45144262522,47536.2699991503,2669.51513420761,1957.6383423574,4871.82564113708,1607.92520379538,717.1018328167,2521.54538568983,1410.2173791151,958.185513866481,3129.53051203467,1204.23957142787,509.474241237286,66934.149700749,7492.94960994182,885.557192268454,543.469390131886,69.8339544057086,482.320991224189,737.40430163933,280.800516379708,13966.8374720289,462.821622255346,691.04892568434,105.545958937284,458.143685321064,2474.77451110365,1437.06009313197,2040.65552629242,1275.97165486877,142.643717651451,47.3976558943676,280.738824037005,12119.6602157369,473.373973028104,1833.0969901327,382.836590114159,1249.01746981351,2263.85747130304,684.307075864638,590.876973177928,1463.02425076078,300.638485757792,2569.14259050436,1423.05343623245,131.212285221084,1467.56221468951,934.83554666054,1836.23949817583,1297.54527490603,4663.44585890978,2763.59657603611,1869.34422686084,1121.1954835146,1209.05357637978,2439.16866892037,2273.27286714865,1376.96571538876,473.966041939701,337.815222352167,2365.82759399052,2333.16097441905,1834.69420928233,975.723852730592,8585.01258057753,1417.44036154351,1640.02069630746,708.762078175474,334.442215389954,1536.35959470383,7431.9059459119,149321.535880285,2482.98974641617,5733.12892624515,2398.61823692582,453.584119152798,2110.07623075517,48944.6264513141,4208.60766392629,2123.53202567847,414764.850731078,24375.4124350327,121536.543999063,42.2460370711931,66947.2515940547,68.6903651073524,188.100605576666,786.043909851008,529.381041635878,61664.8575803033,9732.16787009695,7962.64859128903,2194.83636043814,418.906627198847,757.06037945986,514.646535763047,1271.2338911955,527.434007084224,20536.4846074444,13414.5055706837,121118.537830889,410.28816739188,1179.86922860627,3396.60196085146,1681.76209594458,1674.63982898432
"bin_s21.mxb8",8043.50034234149,1212.58485847196,2648.88241772766,1350.21152717705,2584.82665671214,7542.07310789836,4596.60450951399,1056.05203410798,4580.96177813845,4216.45677735169,2458.74378173347,2415.9469879153,1963.50892402854,35502.1388489196,3527.83384478891,1707.435375967,566.9414777081,30675.4017387673,104626.704056163,179607.412535381,3235.57972687953,1630.69295950072,541.427735177208,3192.45484695728,51871.9439917381,31984.6253104501,1750.98032022944,1825.77180708189,2239.50136659273,1485.1017469504,2289.8224779886,2221.26000527438,1059.0206304153,3856.23917488893,1586.80458548517,241.115734457908,9323.63653028528,823.020666539895,2191.03311755843,942.023759923546,2677.46200154142,3340.05687195197,2949.24538136333,3645.71863814151,4210.17715054473,2963.56840942794,1562.4060537181,2059.98223244935,6821.11283676413,1878.48705304096,1073.69306815711,739.8586903028,3605.06046809631,1185.30696794107,3800.54049973514,2208.48333975526,11248.3267772323,18721.4338344912,5123.83929730386,2321.47767656882,4987.80978382319,1543.95012008356,151390.739646647,2787.79943827362,2238.91516573707,4584.79450105019,5091.17883179304,2423.05527971141,3310.46241933665,2831.95484414258,1937.96865840609,2343.62725214045,2726.59363189093,2159.57648995876,7310.26126158471,679.812243576545,95233.278420691,1444.68948854036,1644.20844034504,1676.94348643835,19394.0784317078,2152.02842058831,1921.49077535865,10226.7903582222,1897.36985663309,4270.37770300381,2055.45585328167,10122.7293925218,735.128435178395,103.695258531369,2617.67702883463,992.95828285503,4937.03615778782,1200.41676041359,841.673374908463,3729.47469375754,405.509236444835,390.356126825177,641.785321791957,268.256212628823,1458.9785350695,1247.67161603506,3201.75780093457,2751.52435749435,2083.59588767382,1889.59155490409,33738.3251860926,2262.2173297062,1337.80193766892,3057.88033695441,37847.3089924547,3162.57837084177,6035.77577080649,2235.30744483094,1601.58064550993,707.923390191841,3609.44661999801,7728.73093834864,38839.2303471515,1389.61440324322
"bin_s14.cct6",29.7490915364595,1025.16411845219,252.477441411351,18.8095101830833,6.42196559489753,77.3367762550087,14.6382468792375,3768.61896468232,9183.54447202683,1709.22016432987,10.6469643612479,897.781663137674,14.3203571336746,35.9540414881245,2281.99221636493,50.2016121657285,2.32745099642386,264.123222358473,1245.93759092754,32.5850493186081,33.3636632890743,1623.47106598923,234.248110237955,13.662136597457,41.9778587726452,103.80852854291,569.152227690979,1307.64999453715,1042.91052206605,279.683011476465,19.9446390611411,13.4201316886404,15.6805824819548,34.6363798095949,45.1352738309699,151.126256543696,50.8294468786615,119.658060058756,211.862861835042,17.4070182100322,838.061845004991,12.0157135960208,4.73503800319527,6.73908524145117,21.5425450288751,10.102582296399,220.549024325001,1080.33171596405,32.3588878262013,17.1831411629058,97.441613012034,2088.17997554648,43.2397306266592,37.9897445098448,18508.6529621345,1045.72983504685,30.5405141764647,30.2424701197159,15.4610999720127,2.72514236994964,12.808823827906,3982.3814582923,15.9272419968292,15.1374323671956,3233.76907255198,375.079606481641,1919.59776531335,59.7197976269349,14721.2300573192,707.609217288132,201.698469791728,11.6830227522669,12.0193587563557,8.06534830552136,11.4304023551148,475.363943831317,69.837947284524,8.82774397788663,12.7938055389312,442.087831136913,9.07078194211444,4.55133339363357,5.03742562471555,26417.7986422622,1487.03337998732,991.708555332042,1.59519549963756,46.3462761459709,1.10338980994705,1.10715236802177,0.369832579372112,409.44296616832,103.329798192575,3.51672063595512,460.958997080321,34.8712235773077,3.27703410965263,1.30848696598938,2.10063311101593,1.10251057092708,9.85729867367027,195.043819811487,1495.45752405966,1884.37170017739,2301.67911873691,2943.90725292821,45.2555157859821,106.27450296636,31.876392821016,77.6672463371982,123.140860248402,84.0493646786041,40.278598306101,627.571957392268,931.482699969125,151.925142326432,22409.4079568575,27.0709010317273,29.9011853798689,17.8729030799743
"bin_s19.cct18_sub",497015.374663403,3279.23495294542,3179.68846905826,492.716178257305,175.297434725299,70.3875905449529,500618.974994087,2248.7558718617,268.05958550902,60.2684504491965,826.917925689012,942.358223004639,1997.72166826026,2571.09114892902,212.144797460259,1007.50571649567,410.267637536311,320.463047022803,10168.7237790402,5919.64748251323,168297.301669355,324.79455164075,3112.84490105156,2773.69324542041,277.151450996772,518.799256486067,1863.10320644885,3074.61995164459,546.172396340251,909.986525591016,738.375495924162,7.37970225809048,1215.26451636232,35.7051130610052,2581.19457049406,59.1471016013488,97.575342263224,1787.87970653124,109.696480108305,502.943962688486,27.7416056884846,322.259069465749,934.59224553798,5920.34907961692,41.6649447241625,6.2858863623258,2601.36513009707,269.463743646842,362.990601652688,201.078173286299,6988.4846878171,222.066561360439,3182.85056728106,689.116445439407,39.8357192306369,59.4962284214075,2.29153604680949,303.67393716987,2.07489930850571,1.64572909634541,329.780567734202,618.030808131396,1829.63359008207,1593.65886938951,1249.4607880566,16.0647322071052,23.1990468507651,168.992290631515,870.443333555619,223.045540713125,151.637113844264,181.089739632091,106.341564691975,43.3935987893024,4927.14294288195,1227.38682069453,363.159782693481,121.075776410001,173.068055833344,1321.46284383662,529.874967688314,2635.35024773586,124.213632873012,727.561289255825,1027.36278504062,22924.1958219448,450.761095071271,2161.40863729558,163.68602968323,281.511956690845,112.217959222861,799.26784729317,54.2444041124574,38.5424517249766,203.693427867317,2230.40572736169,187.530439041988,66.9916355418394,387.712027091557,18.6427486787876,59.9465375670111,104.700516156739,742.293489963841,3293.96359569795,4347.53002248633,1074.68888093075,794.963612213881,2299.65255228909,3705.79823861317,2355.28208388823,192.177436546326,45.9180939560644,2649.35631149925,35.9762745111566,1572.26883921052,357.942010437664,154.517706353762,144.850578910122,6892.10562557464,1522.93235392398
"bin_s13.vmb19",21270.0659767039,701.706913165646,1465.3148884859,1891.05296438602,98086.9906793909,996.338132707349,31479.8375139932,10366.3238044769,36939.419589763,37700.8664086204,545.592833567633,3109.53002209931,3659.60806471438,1735.44118921296,97.9076414759978,759.154006343239,225.245249140526,1660.98377429352,1196.11249604699,29489.0983013973,2049.53202635913,13174.0739889877,194.642513026378,512102.150555909,195.431555492545,55843.7838078161,3773.53936448269,23.0513434192283,3701.80579926807,594.555415548661,1357.65123622165,5027.43664275575,732.811853764643,6735.8624638401,1839.85947283025,139.215537164379,299.196654403207,2.7769197477463,28.5205547437949,218.516054928948,5546.45541590251,7431.48239275541,695.186693323261,125292.837212307,271.197540843109,15620.1759464668,243.312268276759,518.98843333142,3145.91819173286,304603.212954197,14.3999969703994,6.232427387368,1650.05394231894,423.892203786732,52276.4366230652,830.771886531792,55.9898673687284,145333.593579807,10.6892282589065,5502.30727783041,1195.88938811204,12100.1088269889,15588.1421861032,1699.25803261903,3558.8770767094,419.110066367565,983.992948396914,177.4228326657,19277.5557383851,7135.54040871929,49078.6333117351,792.233139478385,4561.03946162211,754.165518247074,2149.42079392799,1110.87919360876,10192.881628811,167.11535354465,244.26824548513,419.427455628295,601.111772323885,5.21383361329546,3.49738321086652,20765.5293687044,395.131990257225,1304.940784496,15.615920963407,2645.62741223843,0.95757666808429,86.0914435136733,10.3990762716266,1487.97910178398,41.1448846734979,9.76635339221851,129.329727617447,155.260256600628,0.568794704397408,7.38120631157152,2.41791891901736,7.34832860653846,498.421218465631,1416.3953612176,3192.79812300475,160.638951620105,149.123382952996,3253.95751325714,6196.13396774721,1789.90408915904,177.7707706025,913.317522163138,808.230645182928,6336.35162987761,60.9092408649662,166.82225846087,56.5012994652102,3799.32896390858,3372.36517273782,143.268993570964,10865.7797830931,264.856614466979
"bin_s2.mtb4",46.8962742769421,52.1203641225472,39.3708790412151,792.393988735052,120.171574567702,84.7564305986988,38.4561400467835,34.6964827777278,71.6137419152101,145.358819838822,149.619491807721,967.65326922824,1955.19504529708,16689.2401609807,288.682038567618,5295.84594891366,4580.07686567872,43479.0763288367,13926.2063582729,529.66992777458,31.2160186125901,3010.49181244138,87.3455753564486,553.1197527624,592.712900021007,193.882582448796,59.9165279420574,8011.79283506615,51.9985849332696,34.3367941836255,44.1073154340779,76.1542727209769,709.108547263163,73.4171964974107,147.717692582854,7.00267783965566,143.36178818843,26.6115395900233,3.7960519240283,34.6271851611281,86.0537034779016,88.3979882947336,22.857469957699,385.85446070799,104.336086179694,57.2864927326192,17.5195234214034,29.6321421961763,121.103685277414,46.4191059253748,14.00261831327,3.55512289109898,77.0597255177934,34.9801199428454,112.465817990203,44.0207303302204,41.5077224415905,454.498336921513,29.8231675184761,35.4532892750957,139.166638404663,67.3970471181496,103.911195651336,47.4296624329323,39.6406613270567,42.6669232364533,17.6043475391514,238.12827408199,35.1092428808382,666.931536895845,855.728003707842,1190.81407366591,1552.85572467232,611.621345969137,29736.1544165168,756.7676450954,2452.82771832355,607.409402934279,840.578147712868,70.1653679439934,293.834947560668,44.854731244772,27.6221510399062,549.648283183502,1517.16563082469,34347.6961420228,115.818895345347,37792.8764976991,302.597288446123,2524.33449789227,456.523862506433,145.018868025862,545.948496447393,1869.64806988561,493.34251794414,23090.8804665543,9.0847078595818,5.0330633521129,23.9987362107449,1.92554341874764,56.9546916549686,1350.72307674145,26.4733379346644,9805.58212334566,97.9510325409697,470.853251584065,18704.0921284705,118.863072067422,136.299336738607,9563.88278404788,166.317255730903,120.468320280368,24128.1113994005,94.0095924552697,135.565144120928,11.9888521938927,115.308191625904,28.6363143392468,1064.91408435967,32709.6442447815
