"","xx","me","lo","hi","Function"
"1","0",0.202809859095581,0.158174596387088,0.228275880027026,"Antibiotic_degradation_AS"
"2","7",0.216867133801663,0.168006999724841,0.239782151116113,"Antibiotic_degradation_AS"
"3","19",0.199102355418115,0.159706972358571,0.224121011639746,"Antibiotic_degradation_AS"
"4","33",0.200853153227752,0.156837629735963,0.226222879564027,"Antibiotic_degradation_AS"
"5","45",0.222638565780291,0.169495901172234,0.245986349097302,"Antibiotic_degradation_AS"
"11","0",0.0134716387325263,0.00638398863428841,0.0183466191026133,"Xenobiotic_degradation_AS"
"21","7",0.0154700879243823,0.0082140664917917,0.0201882341278222,"Xenobiotic_degradation_AS"
"31","19",0.0124704750311928,0.0060187232304611,0.0173090878997003,"Xenobiotic_degradation_AS"
"41","33",0.0125404609325932,0.00586226055571013,0.0175899139027041,"Xenobiotic_degradation_AS"
"51","45",0.016977054890934,0.00899190300655238,0.0218002799892082,"Xenobiotic_degradation_AS"
"12","0",0.257822426899449,0.176535930662806,0.304098276799886,"Alcohol_degradation_AS"
"22","7",0.282253172582921,0.19776603798908,0.323414183977887,"Alcohol_degradation_AS"
"32","19",0.250621134796949,0.172922762740362,0.298420926940048,"Alcohol_degradation_AS"
"42","33",0.249016910687651,0.162274341265194,0.298538500253934,"Alcohol_degradation_AS"
"52","45",0.281796936834748,0.197702802796717,0.320101855132375,"Alcohol_degradation_AS"
"13","0",0.127631438399048,0.101579753057043,0.158603386247314,"Nitrogen_compound_degradation_AS"
"23","7",0.123646863695102,0.0950222728895839,0.153085574412298,"Nitrogen_compound_degradation_AS"
"33","19",0.124982992363254,0.0961269708869226,0.15347377272055,"Nitrogen_compound_degradation_AS"
"43","33",0.1253832507605,0.0967504214970454,0.158457733113245,"Nitrogen_compound_degradation_AS"
"53","45",0.130284702771558,0.100933820374803,0.172574072644367,"Nitrogen_compound_degradation_AS"
"14","0",0.260972384167,0.219813370113021,0.297859449575134,"Amino_acid_degradation_AS"
"24","7",0.252238292038049,0.213285567757511,0.284082663403573,"Amino_acid_degradation_AS"
"34","19",0.255817800761495,0.21456824361695,0.294244588568357,"Amino_acid_degradation_AS"
"44","33",0.260715211878784,0.221548424329321,0.297175451866334,"Amino_acid_degradation_AS"
"54","45",0.253855013301771,0.218278048297633,0.283563484738018,"Amino_acid_degradation_AS"
"15","0",0.279200962338959,0.210788649398407,0.3062000983822,"Sugar_degradation_AS"
"25","7",0.282188972807643,0.211767774318614,0.309965198053813,"Sugar_degradation_AS"
"35","19",0.271803903122892,0.206992446709056,0.297496008487552,"Sugar_degradation_AS"
"45","33",0.273206744761281,0.200176675114723,0.300191024708905,"Sugar_degradation_AS"
"55","45",0.285213277106827,0.199471437500282,0.314578707028966,"Sugar_degradation_AS"
"16","0",0.443014886732622,0.301224611823144,0.513933256134715,"Polysaccharide_degradation_AS"
"26","7",0.439086958118291,0.293430073524506,0.499542738605997,"Polysaccharide_degradation_AS"
"36","19",0.444915461445299,0.305611135447619,0.517528401080575,"Polysaccharide_degradation_AS"
"46","33",0.448028944068595,0.292861724641793,0.518062899945915,"Polysaccharide_degradation_AS"
"56","45",0.440969986778216,0.263030665241967,0.501708814783942,"Polysaccharide_degradation_AS"
"17","0",0.0896888403299763,0.0569107122947745,0.111586140922047,"Lipid_degradation_AS"
"27","7",0.104671313190136,0.0677212810439469,0.1275421383914,"Lipid_degradation_AS"
"37","19",0.0827027624705554,0.0533866985509982,0.103654461079925,"Lipid_degradation_AS"
"47","33",0.0868229449282883,0.0558375045267993,0.110773772778169,"Lipid_degradation_AS"
"57","45",0.106079460729947,0.0661691784117109,0.13293879019308,"Lipid_degradation_AS"
"18","0",0.497440930405703,0.458163912555933,0.531155986789406,"Aromatic_compound_biosynthesis_AS"
"28","7",0.495989939594907,0.462600424452319,0.524148989370603,"Aromatic_compound_biosynthesis_AS"
"38","19",0.49515208675391,0.454353532268333,0.529365118149577,"Aromatic_compound_biosynthesis_AS"
"48","33",0.499067712283285,0.463611109106937,0.533231743487177,"Aromatic_compound_biosynthesis_AS"
"58","45",0.491961524455047,0.45052038311262,0.52400559038488,"Aromatic_compound_biosynthesis_AS"
"19","0",0.409251359480709,0.329589004381912,0.519870131165894,"Vitamin_biosynthesis_AS"
"29","7",0.372536003307731,0.304358804092734,0.473546255524679,"Vitamin_biosynthesis_AS"
"39","19",0.405114813483459,0.320655886989643,0.520470517695739,"Vitamin_biosynthesis_AS"
"49","33",0.406758512877128,0.320396592294568,0.522016153308933,"Vitamin_biosynthesis_AS"
"59","45",0.38206794431561,0.321687570674154,0.478713727125249,"Vitamin_biosynthesis_AS"
"110","0",0.643201975295044,0.574752234854717,0.678498881611565,"Organic_anion_biosynthesis_AS"
"210","7",0.635316378331598,0.56260458716337,0.67337697126805,"Organic_anion_biosynthesis_AS"
"310","19",0.633127278009631,0.55925689633549,0.672605058408632,"Organic_anion_biosynthesis_AS"
"410","33",0.637333377243557,0.573565750162987,0.678434022098289,"Organic_anion_biosynthesis_AS"
"510","45",0.651789454884127,0.589081886299598,0.693739042277133,"Organic_anion_biosynthesis_AS"
"111","0",0.609399657569275,0.556217879592808,0.643660999475454,"SCFA_biosynthesis_AS"
"211","7",0.625874365232778,0.571518164354824,0.658709736033212,"SCFA_biosynthesis_AS"
"311","19",0.603915757197866,0.552760247875671,0.639396672443028,"SCFA_biosynthesis_AS"
"411","33",0.606269613682842,0.552237165135434,0.640619416865168,"SCFA_biosynthesis_AS"
"511","45",0.631282982632563,0.571463913259696,0.663227973958555,"SCFA_biosynthesis_AS"
"112","0",0.0773371566172715,0.0510726728185311,0.0962862053415133,"Amino_acid_derivative_biosynthesis_AS"
"212","7",0.0833000463133536,0.0576184677908077,0.0994105718659768,"Amino_acid_derivative_biosynthesis_AS"
"312","19",0.0735722043573066,0.0484210858601141,0.0927291274956384,"Amino_acid_derivative_biosynthesis_AS"
"412","33",0.0753278608500924,0.0494829853373304,0.0953945475733598,"Amino_acid_derivative_biosynthesis_AS"
"512","45",0.0884095510268845,0.0626620159884919,0.10333381416691,"Amino_acid_derivative_biosynthesis_AS"
"113","0",0.543284751622345,0.463265951571568,0.579237200690572,"Amino_acid_biosynthesis_AS"
"213","7",0.552820723897838,0.475654892530038,0.590639310539848,"Amino_acid_biosynthesis_AS"
"313","19",0.529674165764128,0.450688134028619,0.561680206700001,"Amino_acid_biosynthesis_AS"
"413","33",0.534721857143021,0.458289941924653,0.570688732508697,"Amino_acid_biosynthesis_AS"
"513","45",0.570078970859826,0.492630685338923,0.611402898410057,"Amino_acid_biosynthesis_AS"
