"","sample_id","individual_id","treatment","cage","sex","species"
"1","M1_DIET","M1","Diet",1,"MALE","AS"
"2","M1_COLD","M1","Cold",1,"MALE","AS"
"3","M1_POST","M1","Acc",1,"MALE","AS"
"4","M1_HEAT","M1","Heat",1,"MALE","AS"
"5","M1_PRE","M1","Day1",1,"MALE","AS"
"6","M10_DIET","M10","Diet",1,"MALE","AS"
"7","M10_COLD","M10","Cold",1,"MALE","AS"
"8","M10_HEAT","M10","Heat",1,"MALE","AS"
"9","M10_PRE","M10","Day1",1,"MALE","AS"
"10","M10_POST","M10","Acc",1,"MALE","AS"
"11","M11_PRE","M11","Day1",3,"FEMALE","AS"
"12","M11_DIET","M11","Diet",3,"FEMALE","AS"
"13","M11_HEAT","M11","Heat",3,"FEMALE","AS"
"14","M11_POST","M11","Acc",3,"FEMALE","AS"
"15","M11_COLD","M11","Cold",3,"FEMALE","AS"
"16","M12_POST","M12","Acc",4,"MALE","AS"
"17","M12_HEAT","M12","Heat",4,"MALE","AS"
"18","M12_DIET","M12","Diet",4,"MALE","AS"
"19","M12_PRE","M12","Day1",4,"MALE","AS"
"20","M13_COLD","M13","Cold",4,"MALE","AS"
"21","M13_DIET","M13","Diet",4,"MALE","AS"
"22","M13_HEAT","M13","Heat",4,"MALE","AS"
"23","M13_PRE","M13","Day1",4,"MALE","AS"
"24","M13_POST","M13","Acc",4,"MALE","AS"
"25","M14_COLD","M14","Cold",4,"MALE","AS"
"26","M14_DIET","M14","Diet",4,"MALE","AS"
"27","M14_HEAT","M14","Heat",4,"MALE","AS"
"28","M14_PRE","M14","Day1",4,"MALE","AS"
"29","M14_POST","M14","Acc",4,"MALE","AS"
"30","M15_PRE","M15","Day1",4,"MALE","AS"
"31","M15_HEAT","M15","Heat",4,"MALE","AS"
"32","M15_DIET","M15","Diet",4,"MALE","AS"
"33","M15_POST","M15","Acc",4,"MALE","AS"
"34","M15_COLD","M15","Cold",4,"MALE","AS"
"35","M16_COLD","M16","Cold",3,"FEMALE","AS"
"36","M16_POST","M16","Acc",3,"FEMALE","AS"
