"","Treatment_pair","q","raoQ_gamma","FD_gamma","FD_alpha","FD_beta","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"1","Day_Acc",1,5.32947458596997,25110.3783627332,19358.8526963638,1.29710054395164,0.812354843228175,0.812354843228175,"M1","AS","Day_Acc_AS",0.187645156771825
"2","Acc_Heat",1,5.26770011831562,23648.1536237055,18309.0323177645,1.29161133222539,0.815413998044828,0.815413998044828,"M1","AS","Acc_Heat_AS",0.184586001955172
"3","Heat_Cold",1,5.14175948933892,22099.4240432094,18890.3291945801,1.16988030306798,0.886819536379492,0.886819536379492,"M1","AS","Heat_Cold_AS",0.113180463620508
"4","Cold_Diet",1,5.31857935607043,42832.5347069424,25008.8620399273,1.71269426967765,0.611866179392783,0.611866179392783,"M1","AS","Cold_Diet_AS",0.388133820607217
"5","Day_Acc",1,5.37678267209697,71284.602279363,41273.7197842098,1.72711843400736,0.605816491775439,0.605816491775439,"M10","AS","Day_Acc_AS",0.394183508224561
"6","Acc_Heat",1,5.63786274072743,77048.1449949602,49965.0534662312,1.54204067943274,0.687579587787999,0.687579587787999,"M10","AS","Acc_Heat_AS",0.312420412212001
"7","Heat_Cold",1,5.54199528827092,65112.7762767709,50660.3883357855,1.28527984912379,0.81895874130744,0.81895874130744,"M10","AS","Heat_Cold_AS",0.18104125869256
"8","Cold_Diet",1,5.58606589607067,90235.5161993929,69679.617856073,1.29500589951253,0.813520664874943,0.813520664874943,"M10","AS","Cold_Diet_AS",0.186479335125057
"9","Day_Acc",1,5.74920073072564,110983.833317444,88265.6923910627,1.25738359164201,0.834787579123586,0.834787579123586,"M11","AS","Day_Acc_AS",0.165212420876414
"10","Acc_Heat",1,5.77079256811255,116394.598299965,79858.7386763236,1.45750609425132,0.728249042119782,0.728249042119782,"M11","AS","Acc_Heat_AS",0.271750957880218
"11","Heat_Cold",1,5.7721126231085,92022.7592108733,59464.2935210067,1.54752968146111,0.685016459775839,0.685016459775839,"M11","AS","Heat_Cold_AS",0.314983540224161
"12","Cold_Diet",1,5.94524030758526,60852.5490828437,43587.6517473076,1.3960960649045,0.759300891836188,0.759300891836188,"M11","AS","Cold_Diet_AS",0.240699108163812
"13","Day_Acc",1,5.38878673781413,27046.0772113684,24638.9202041114,1.09769734173884,0.932759836108426,0.932759836108426,"M13","AS","Day_Acc_AS",0.0672401638915735
"14","Acc_Heat",1,5.56443113567676,44864.9648021741,30516.0053016272,1.47021093877519,0.721988419580523,0.721988419580523,"M13","AS","Acc_Heat_AS",0.278011580419477
"15","Heat_Cold",1,5.22198848982945,34782.2820278302,24107.3093949823,1.4428106205444,0.735559026014587,0.735559026014587,"M13","AS","Heat_Cold_AS",0.264440973985413
"16","Cold_Diet",1,5.25939285350698,33813.6688185929,23277.0733943531,1.45265980158811,0.730651561118818,0.730651561118818,"M13","AS","Cold_Diet_AS",0.269348438881182
"17","Day_Acc",1,5.37832419256806,69940.8899239835,36572.9807921741,1.91236504132443,0.532321030955423,0.532321030955423,"M14","AS","Day_Acc_AS",0.467678969044577
"18","Acc_Heat",1,5.10151438286797,55880.4994340026,42840.2296993131,1.30439308627,0.808310650279219,0.808310650279219,"M14","AS","Acc_Heat_AS",0.191689349720781
"19","Heat_Cold",1,4.73730931720496,26964.1792441823,21529.1787198567,1.25244811216662,0.837624582469613,0.837624582469613,"M14","AS","Heat_Cold_AS",0.162375417530387
"20","Cold_Diet",1,5.14022522924823,19790.4432268631,9936.1714546817,1.99175742056447,0.502979025056892,0.502979025056892,"M14","AS","Cold_Diet_AS",0.497020974943108
"21","Day_Acc",1,5.44753474967017,61065.4530495161,40020.0311512293,1.52587220181712,0.695182932257649,0.695182932257649,"M15","AS","Day_Acc_AS",0.304817067742351
"22","Acc_Heat",1,5.20345049679566,47296.9079157698,28416.1869151392,1.66443541693384,0.632483553789719,0.632483553789719,"M15","AS","Acc_Heat_AS",0.367516446210281
"23","Heat_Cold",1,4.87552080305669,19598.1351436345,15620.7055448027,1.25462547689821,0.836371618015772,0.836371618015772,"M15","AS","Heat_Cold_AS",0.163628381984228
"24","Cold_Diet",1,4.9472012552064,17990.315191843,14415.7400447608,1.24796334672956,0.840212218904742,0.840212218904742,"M15","AS","Cold_Diet_AS",0.159787781095258
"25","Day_Acc",1,5.85632986137892,36814.3276091762,25775.1883274497,1.42828549461927,0.742857808459373,0.742857808459373,"M16","AS","Day_Acc_AS",0.257142191540627
"26","Acc_Heat",1,5.59018272377821,51353.8417149683,28669.9916259202,1.79120532663637,0.57953463822213,0.57953463822213,"M16","AS","Acc_Heat_AS",0.42046536177787
"27","Heat_Cold",1,5.44364345504589,62149.3320902868,43812.6424447311,1.41852507911814,0.747804171363049,0.747804171363049,"M16","AS","Heat_Cold_AS",0.252195828636951
"28","Cold_Diet",1,5.46044385659595,53119.8157149285,42162.9523728578,1.2598694523376,0.833362875289282,0.833362875289282,"M16","AS","Cold_Diet_AS",0.166637124710718
"29","Day_Acc",1,5.75459295638982,62867.189477484,43148.0924219125,1.45700970654168,0.728494755693812,0.728494755693812,"M18","AS","Day_Acc_AS",0.271505244306188
"30","Acc_Heat",1,5.59720268491593,75794.5500222801,54531.3945776191,1.3899250259297,0.762496467747415,0.762496467747415,"M18","AS","Acc_Heat_AS",0.237503532252585
"31","Heat_Cold",1,5.55059574774561,74240.7601934043,49028.7980436634,1.51422762041378,0.70070895540978,0.70070895540978,"M18","AS","Heat_Cold_AS",0.29929104459022
"32","Cold_Diet",1,5.45060127564121,43057.7051559782,31873.3667875789,1.35089918309972,0.7830399944481,0.7830399944481,"M18","AS","Cold_Diet_AS",0.2169600055519
"33","Day_Acc",1,5.72318982449707,22040.2253091981,14959.042530241,1.47337139156078,0.720439432393789,0.720439432393789,"M19","AS","Day_Acc_AS",0.279560567606211
"34","Acc_Heat",1,5.84255596068301,35886.1000947509,24316.2704046379,1.47580609598363,0.719248409876599,0.719248409876599,"M19","AS","Acc_Heat_AS",0.280751590123401
"35","Heat_Cold",1,5.81460617543222,34010.6138372446,26645.4397949816,1.2764140542972,0.823951800502174,0.823951800502174,"M19","AS","Heat_Cold_AS",0.176048199497826
"36","Cold_Diet",1,5.66940378342641,34633.7980126039,22725.7365381955,1.5239901225817,0.696073223829981,0.696073223829981,"M19","AS","Cold_Diet_AS",0.303926776170019
"37","Day_Acc",1,5.2280791634453,45125.760572154,36629.4337404336,1.23195354020288,0.849526075142184,0.849526075142184,"M2","AS","Day_Acc_AS",0.150473924857816
"38","Acc_Heat",1,5.22196754036313,33487.9023822756,21651.535778691,1.5466756134331,0.685414675027399,0.685414675027399,"M2","AS","Acc_Heat_AS",0.314585324972601
"39","Heat_Cold",1,5.09397463907567,20357.6087501536,14867.4819168306,1.36927079272974,0.773296105885675,0.773296105885675,"M2","AS","Heat_Cold_AS",0.226703894114325
"40","Cold_Diet",1,5.23525210422795,40690.8542995201,24515.6552590082,1.65979060602789,0.634499376412641,0.634499376412641,"M2","AS","Cold_Diet_AS",0.365500623587359
"41","Day_Acc1",1,5.59784022123206,30154.1609745013,15586.3346275178,1.93465376530951,0.523962300992341,0.523962300992341,"M22","AS","Day_Acc_AS",0.476037699007659
"42","Acc_Heat",1,5.5472585585035,19099.7751945195,13916.0412918475,1.37250061234791,0.771596603551943,0.771596603551943,"M22","AS","Acc_Heat_AS",0.228403396448057
"43","Heat_Cold",1,5.49611868159397,49262.0409152996,32586.6068401315,1.51172661691894,0.701901368076288,0.701901368076288,"M22","AS","Heat_Cold_AS",0.298098631923712
"44","Cold_Diet",1,5.54160469665182,83856.8384589369,40855.7857224599,2.05250827945374,0.481305979204852,0.481305979204852,"M22","AS","Cold_Diet_AS",0.518694020795148
