"","Treatment_pair","q","TD_gamma","TD_alpha","TD_beta","M_homog","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"1","Day_Acc",1,1.98209799066263,1.79023356004259,1.10717284878486,0.903201339427274,0.983090950281886,0.983090950281886,"M1","AS","Day_Acc_AS",0.0169090497181137
"2","Acc_Heat",1,1.99982762355639,1.79610895957811,1.1134222191209,0.898131888179443,0.982119871370326,0.982119871370326,"M1","AS","Acc_Heat_AS",0.0178801286296741
"3","Heat_Cold",1,1.99768668947986,1.8386064021496,1.0865222089645,0.920367749273196,0.986195595881803,0.986195595881803,"M1","AS","Heat_Cold_AS",0.0138044041181971
"4","Cold_Diet",1,1.9923717180462,1.72074416143373,1.15785470187861,0.863666225457745,0.97561763706529,0.97561763706529,"M1","AS","Cold_Diet_AS",0.0243823629347101
"5","Day_Acc",1,1.99122967546399,1.67543119666368,1.1884878826592,0.841405297092751,0.971320188902106,0.971320188902106,"M10","AS","Day_Acc_AS",0.0286798110978939
"6","Acc_Heat",1,1.99841882782108,1.70679083643665,1.17086334491535,0.854070634581442,0.973801566747255,0.973801566747255,"M10","AS","Acc_Heat_AS",0.0261984332527454
"7","Heat_Cold",1,1.99678746309759,1.78816860691342,1.11666621110426,0.895522753402834,0.981672941159683,0.981672941159683,"M10","AS","Heat_Cold_AS",0.0183270588403168
"8","Cold_Diet",1,1.99299909514274,1.80601737320471,1.10353262638124,0.906180729136439,0.983637912222961,0.983637912222961,"M10","AS","Cold_Diet_AS",0.0163620877770391
"9","Day_Acc",1,1.99780384550932,1.82126131514439,1.09693421196449,0.911631699597655,0.984633972787556,0.984633972787556,"M11","AS","Day_Acc_AS",0.0153660272124435
"10","Acc_Heat",1,1.99932132647348,1.78810028160976,1.11812595022555,0.89435362787017,0.981455972076419,0.981455972076419,"M11","AS","Acc_Heat_AS",0.0185440279235815
"11","Heat_Cold",1,1.99662180118716,1.73551519573271,1.15044904596426,0.869225806660428,0.976722837169133,0.976722837169133,"M11","AS","Heat_Cold_AS",0.0232771628308667
"12","Cold_Diet",1,1.99364610730699,1.81428951481121,1.09885775728271,0.91003589260982,0.984336665652425,0.984336665652425,"M11","AS","Cold_Diet_AS",0.0156633343475749
"13","Day_Acc",1,1.99676225257838,1.86446047312693,1.07095981993631,0.933741846691757,0.988614016192128,0.988614016192128,"M13","AS","Day_Acc_AS",0.0113859838078724
"14","Acc_Heat",1,1.99576423184475,1.76076098000712,1.13346686717051,0.882248991094301,0.97919274636249,0.97919274636249,"M13","AS","Acc_Heat_AS",0.0208072536375101
"15","Heat_Cold",1,1.95983413246561,1.73855410729527,1.12727819297761,0.887092473028851,0.980102045539655,0.980102045539655,"M13","AS","Heat_Cold_AS",0.0198979544603455
"16","Cold_Diet",1,1.9617853789225,1.71566056385762,1.14345775630086,0.874540396870497,0.977735214835834,0.977735214835834,"M13","AS","Cold_Diet_AS",0.0222647851641656
"17","Day_Acc",1,1.9627035413064,1.55693188430375,1.26062261367594,0.793258814455208,0.961518293644154,0.961518293644154,"M14","AS","Day_Acc_AS",0.0384817063558465
"18","Acc_Heat",1,1.96803336782506,1.74062076655543,1.13065028617329,0.88444677565556,0.979589472410309,0.979589472410309,"M14","AS","Acc_Heat_AS",0.020410527589691
"19","Heat_Cold",1,1.96303971791801,1.74711479083853,1.12358943339713,0.890004809832124,0.980638596460693,0.980638596460693,"M14","AS","Heat_Cold_AS",0.0193614035393073
"20","Cold_Diet",1,1.99127946995435,1.61174695532752,1.23547897104586,0.809402687893162,0.964865755474208,0.964865755474208,"M14","AS","Cold_Diet_AS",0.0351342445257915
