"","sample_id","Q","FDis","D_q","MD_q","FD_q","individual_id","treatment","cage","sex","species"
"1","M10_COLD",5.46311661957352,3.90041850752936,97.9222369607728,534.960600166215,52384.5386541533,"M10","Cold",1,"MALE","AS"
"2","M10_DIET",5.62859775209214,4.00204097855795,129.35231480503,728.072148339508,94177.8177327868,"M10","Diet",1,"MALE","AS"
"3","M10_HEAT",5.57326422321409,3.96922830520261,94.5073463744813,526.714412379798,49778.381411209,"M10","Heat",1,"MALE","AS"
"4","M10_POST",5.48702732207046,3.92494273417862,98.4630712696529,540.269562271556,53196.6004147684,"M10","Acc",1,"MALE","AS"
"5","M10_PRE",5.00143492562176,3.55597897046724,82.9213886948945,414.725929499703,34389.6500018963,"M10","Day1",1,"MALE","AS"
"6","M11_COLD",5.63965507352043,4.02998120158179,98.4256093200178,555.086486965979,54634.7257049346,"M11","Cold",3,"FEMALE","AS"
"7","M11_DIET",6.12985823263983,4.38731974494886,77.5831738962531,475.573857222274,36896.5292653875,"M11","Diet",3,"FEMALE","AS"
"8","M11_HEAT",5.70134200292013,4.05529881193427,110.887589308401,632.208070526546,70104.0288820044,"M11","Heat",3,"FEMALE","AS"
"9","M11_POST",5.77182298738088,4.08991850211586,126.753662723284,731.599704240974,92732.9421598149,"M11","Acc",3,"FEMALE","AS"
"10","M11_PRE",5.70083280072883,4.04261613542323,121.705981343845,693.825450489884,84442.7073332069,"M11","Day1",3,"FEMALE","AS"
"11","M12_DIET",4.42603435511509,3.23766685460271,50.7808812670522,224.757925070994,11413.4055068592,"M12","Diet",4,"MALE","AS"
"12","M12_HEAT",5.00591509551527,3.60064569688237,82.3202162164143,412.088013023829,33923.1743323142,"M12","Heat",4,"MALE","AS"
"13","M12_POST",5.28307387005541,3.82644024543318,58.1153943846264,307.027921521384,17843.0487463074,"M12","Acc",4,"MALE","AS"
"14","M12_PRE",5.01792313815334,3.60282464050908,91.5612735776089,459.447433243872,42067.5921297724,"M12","Day1",4,"MALE","AS"
"15","M13_COLD",4.97771671526297,3.56098471165051,55.7123955942737,277.320522796959,15450.190672475,"M13","Cold",4,"MALE","AS"
"16","M13_DIET",5.23169520147398,3.74259625034086,85.5330291974998,447.482738420094,38274.5541306631,"M13","Diet",4,"MALE","AS"
"17","M13_HEAT",5.37736435116289,3.80594677915154,84.3555757198075,453.610665697515,38264.588857559,"M13","Heat",4,"MALE","AS"
"18","M13_POST",5.59527097487384,4.02311451803955,68.4067655696229,382.75438987671,26182.9898190401,"M13","Acc",4,"MALE","AS"
"19","M13_PRE",5.15441185739109,3.73429961773988,67.4333474375414,347.579245615636,23438.4320316777,"M13","Day1",4,"MALE","AS"
"20","M14_COLD",4.47108799186745,3.1955671431666,54.6228128722869,244.223402715304,13340.1692255512,"M14","Cold",4,"MALE","AS"
"21","M14_DIET",4.79809647577757,3.55701743362095,50.3227763585843,241.453535897466,12150.6122879576,"M14","Diet",4,"MALE","AS"
"22","M14_HEAT",4.92135552225594,3.51561207459265,83.613469166497,411.491608217516,34406.2408959676,"M14","Heat",4,"MALE","AS"
"23","M14_POST",5.15155993611524,3.68159082670373,103.125116475167,531.255218440689,54785.7562797366,"M14","Acc",4,"MALE","AS"
"24","M14_PRE",5.46461317011784,3.95951348377081,68.3739089556139,373.636963371286,25547.0197160003,"M14","Day1",4,"MALE","AS"
"25","M15_COLD",4.9392779396758,3.55930123701796,57.6188698644138,284.59561283035,16398.077579655,"M15","Cold",4,"MALE","AS"
"26","M15_DIET",4.90523127106265,3.59719579941825,50.7366211110908,248.87486046218,12627.0694993452,"M15","Diet",4,"MALE","AS"
"27","M15_HEAT",4.72612742312966,3.4503777836052,56.0942765753074,265.10869880318,14871.0806731854,"M15","Heat",4,"MALE","AS"
"28","M15_POST",5.33475191411231,3.80285812346796,111.506140345507,594.85759564347,66330.2745454116,"M15","Acc",4,"MALE","AS"
"29","M15_PRE",5.2468727759129,3.78374357705544,71.2218103821385,373.691777945274,26615.0049501825,"M15","Day1",4,"MALE","AS"
"30","M16_COLD",5.54316406677068,3.97209101922822,102.501299454102,568.181519931279,58239.3441187628,"M16","Cold",3,"FEMALE","AS"
"31","M16_DIET",5.33917586772247,3.84191692159442,75.7218451582749,404.292248328479,30613.7550266199,"M16","Diet",3,"FEMALE","AS"
"32","M16_HEAT",5.22718525358505,3.72166346014165,80.4735422297546,420.650113247127,33851.2046523437,"M16","Heat",3,"FEMALE","AS"
"33","M16_POST",5.73986620637579,4.13642543847908,66.371564559924,380.963900481797,25285.170115828,"M16","Acc",3,"FEMALE","AS"
"34","M16_PRE",5.8515506506035,4.22411856399287,67.3291711867517,393.980055462431,26526.350598396,"M16","Day1",3,"FEMALE","AS"
"35","M17_COLD",5.86784479458463,4.17908813247835,83.7590417944101,491.485057392725,41166.3174634853,"M17","Cold",3,"FEMALE","AS"
"36","M17_DIET",5.40707018563157,3.8809295892496,54.1856206353413,292.985453827297,15875.5986527592,"M17","Diet",3,"FEMALE","AS"
"37","M17_HEAT",5.94726980270339,4.24667062890678,82.5739024160015,491.089276330062,40551.1579812234,"M17","Heat",3,"FEMALE","AS"
"38","M17_POST",5.80014843779785,4.17900133470784,73.9215784762815,428.756127918755,31694.3297571329,"M17","Acc",3,"FEMALE","AS"
"39","M18_COLD",5.55446502792356,3.98137878466647,97.9422715693574,544.016922187388,53282.2531312032,"M18","Cold",3,"FEMALE","AS"
"40","M18_DIET",5.23575377076086,3.81066950804919,61.5332077542092,322.172724526112,19824.3211910049,"M18","Diet",3,"FEMALE","AS"
"41","M18_HEAT",5.43722412736008,3.88352121632996,93.2670017977115,507.113592461053,47296.9643397089,"M18","Heat",3,"FEMALE","AS"
"42","M18_POST",5.6914263136715,4.04472490689286,105.800084365365,602.153384145702,63707.8788435052,"M18","Acc",3,"FEMALE","AS"
"43","M18_PRE",5.68070117307841,4.09307313868773,72.6441829345237,412.669895213472,29978.0673594582,"M18","Day1",3,"FEMALE","AS"
"44","M19_COLD",5.72383783610868,4.14803887908916,59.5439389907215,340.819850906039,20293.756409176,"M19","Cold",2,"MALE","AS"
"45","M19_DIET",5.34904725177618,3.8504507593858,70.8499034172327,378.979481162556,26850.6596374801,"M19","Diet",2,"MALE","AS"
"46","M19_HEAT",5.79159347712703,4.17169045706341,78.282702850555,453.381591201148,35491.9363819112,"M19","Heat",2,"MALE","AS"
"47","M19_POST",5.75173460450729,4.17437524189248,55.0481089902912,316.622113392146,17429.4486067472,"M19","Acc",2,"MALE","AS"
"48","M19_PRE",5.33424444429894,3.92521702261748,54.5133789553198,290.787688832377,15851.819476861,"M19","Day1",2,"MALE","AS"
"49","M1_COLD",5.07512603744628,3.71908437827261,53.7525043404207,272.800734356014,14663.7226575416,"M1","Cold",1,"MALE","AS"
"50","M1_DIET",5.39428437096216,3.8489744957063,91.5846837941644,494.033828410373,45245.9319585845,"M1","Diet",1,"MALE","AS"
"51","M1_HEAT",5.1609951793403,3.72787115073903,69.0295991174778,356.261428277096,24592.583574988,"M1","Heat",1,"MALE","AS"
"52","M1_POST",5.13783857372975,3.78342370679888,53.2523175839154,273.601811423148,14569.93055344,"M1","Acc",1,"MALE","AS"
"53","M1_PRE",5.42479970377746,3.91110465114732,70.4116212575616,381.968942140511,26895.0524861491,"M1","Day1",1,"MALE","AS"
"54","M21_COLD",5.42711801547639,3.86426485665232,109.816616105253,595.987735663474,65449.3563707948,"M21","Cold",4,"MALE","AS"
"55","M21_DIET",5.18088085337735,3.70236889941411,91.7652039426704,475.424588112849,43627.4342875357,"M21","Diet",4,"MALE","AS"
"56","M21_POST",5.36649682022075,3.83330844601361,106.659006260244,572.385217943505,61050.0385439075,"M21","Acc",4,"MALE","AS"
"57","M21_PRE",5.50586479577486,3.94850058772492,91.7651245414062,505.246368692424,46363.9959471535,"M21","Day1",4,"MALE","AS"
"58","M22_COLD",5.45123601938651,3.89875234428122,88.4241146213176,482.020718606087,42622.2552718745,"M22","Cold",2,"MALE","AS"
"59","M22_DIET",5.52116644027746,3.97505579330931,86.1153060489167,475.456937751502,40944.1197075513,"M22","Diet",2,"MALE","AS"
"60","M22_HEAT",5.36263227524716,3.87299722607612,69.7661309243715,374.130105414154,26101.6099170728,"M22","Heat",2,"MALE","AS"
"61","M22_POST",5.59794841326104,4.16050578450805,37.430500400066,209.534010322116,7842.9628571894,"M22","Acc",2,"MALE","AS"
"62","M22_PRE",5.24135734342674,3.76217433624621,80.8587905907593,423.809815843481,34268.7491495963,"M22","Day1",2,"MALE","AS"
"63","M24_COLD",5.46862317483077,3.89602550578165,79.6812781017308,435.74688402726,34720.8686481387,"M24","Cold",5,"MALE","AS"
"64","M24_DIET",5.50691230927449,3.99547764604767,42.0578277702184,231.608769449162,9740.9617355651,"M24","Diet",5,"MALE","AS"
"65","M24_HEAT",5.0856808899472,3.6836346996238,68.646917939969,349.116318721074,23965.7592827496,"M24","Heat",5,"MALE","AS"
"66","M24_POST",5.38276252470415,3.87856522974256,61.2509839606028,329.699501064388,20194.4188515136,"M24","Acc",5,"MALE","AS"
"67","M24_PRE",5.36836589037654,3.8549055625028,54.5119549674113,292.640119664793,15952.3850248251,"M24","Day1",5,"MALE","AS"
"68","M25_COLD",5.65913319944723,4.07880573012357,62.4774272569833,353.568082806043,22090.0241739056,"M25","Cold",5,"MALE","AS"
"69","M25_DIET",5.41123025879188,3.86330015729756,77.3795527214025,418.718577097835,32400.2562119726,"M25","Diet",5,"MALE","AS"
"70","M25_HEAT",4.60370350373767,3.25517394345596,56.9486202145511,262.174562414755,14930.479584874,"M25","Heat",5,"MALE","AS"
"71","M25_POST",4.84064307955851,3.4693720632491,61.3452960712766,296.950682890893,18216.5275605096,"M25","Acc",5,"MALE","AS"
"72","M25_PRE",4.75230086674858,3.4076245010305,58.3342368733106,277.221844454151,16171.5247408445,"M25","Day1",5,"MALE","AS"
"73","M2_COLD",4.78492623202853,3.44055399124501,51.1086283802569,244.551016619689,12498.6670284297,"M2","Cold",1,"MALE","AS"
"74","M2_DIET",5.41376717238986,3.90059422174829,95.7051922926222,518.125628261057,49587.3128844601,"M2","Diet",1,"MALE","AS"
"75","M2_HEAT",5.16032440146199,3.75660722217723,61.1746068172881,315.680816309095,19311.6498174694,"M2","Heat",1,"MALE","AS"
"76","M2_POST",5.06455289490193,3.63958566393393,74.222649931397,375.904536577349,27900.6308260046,"M2","Acc",1,"MALE","AS"
"77","M2_PRE",5.36655307707357,3.84254439304383,94.4990894285979,507.134379153692,47923.7370479612,"M2","Day1",1,"MALE","AS"
"78","M3_COLD",5.40237364817198,3.91939456351367,68.8309078092299,371.850282528339,25594.7925155442,"M3","Cold",1,"MALE","AS"
"79","M3_DIET",5.68729709533931,4.07247082039182,73.5321587350185,418.1992327877,30751.0923682081,"M3","Diet",1,"MALE","AS"
"80","M3_HEAT",5.01098218503525,3.60946189128825,57.4710776225471,287.986546121361,16550.89714639,"M3","Heat",1,"MALE","AS"
"81","M3_POST",5.71508858113277,4.09049841100397,84.7402054259269,484.29778039256,41039.4933977859,"M3","Acc",1,"MALE","AS"
"82","M3_PRE",5.98454344389929,4.32558694042546,62.1072667373204,371.683635971335,23084.2547211688,"M3","Day1",1,"MALE","AS"
"83","M4_COLD",5.49499926130177,3.943369226509,89.2628120953077,490.499086525434,43783.3277934399,"M4","Cold",1,"MALE","AS"
"84","M4_DIET",5.45286538467606,3.94485654247725,48.0143312879928,261.815685048665,12570.9050383194,"M4","Diet",1,"MALE","AS"
"85","M4_HEAT",5.69939404697506,4.07146143145853,100.200458128533,571.081894561932,57222.6674640159,"M4","Heat",1,"MALE","AS"
"86","M4_POST",5.44011965638176,3.90569982145537,86.9210513866726,472.860920202007,41101.5683436279,"M4","Acc",1,"MALE","AS"
"87","M4_PRE",5.31589981122831,3.83859727647934,63.6560838030025,338.389363871914,21540.5417046753,"M4","Day1",1,"MALE","AS"
"88","M6_COLD",5.56726844454413,3.94697469783859,119.701599262506,666.410936335617,79770.4548453975,"M6","Cold",3,"FEMALE","AS"
"89","M6_DIET",5.47126570010658,3.90659264434689,89.255584705796,488.341019143779,43587.1631995023,"M6","Diet",3,"FEMALE","AS"
"90","M6_HEAT",5.13908665671098,3.71260031053614,72.0174084721769,370.103702930269,26653.9095509944,"M6","Heat",3,"FEMALE","AS"
"91","M6_POST",5.56498908641451,3.97592465129291,88.1276694302483,490.429518590477,43220.4104931774,"M6","Acc",3,"FEMALE","AS"
"92","M6_PRE",5.09321546644241,3.70415534879043,55.3814876950599,282.069849683069,15621.4479093703,"M6","Day1",3,"FEMALE","AS"
"93","M7_COLD",5.87694300482519,4.14730177153574,70.920426982269,416.795307252662,29559.3011545648,"M7","Cold",2,"MALE","AS"
"94","M7_DIET",7.08433872294975,5.75953351843468,21.3494705191034,151.246880712958,3229.04082088765,"M7","Diet",2,"MALE","AS"
"95","M7_HEAT",6.6440976960982,4.6862078596979,93.8413228006424,623.490916618555,58509.2123696703,"M7","Heat",2,"MALE","AS"
"96","M7_PRE",6.32542612448843,4.66097524981891,34.5085008448746,218.280972761101,7532.54913294651,"M7","Day1",2,"MALE","AS"
"97","M8_COLD",5.62050248039994,4.04943026804903,80.5129991881931,452.523511641678,36434.0251254447,"M8","Cold",2,"MALE","AS"
"98","M8_DIET",5.86011360136382,4.22966759798368,62.8815503853877,368.493028688255,23171.4129501247,"M8","Diet",2,"MALE","AS"
"99","M8_POST",5.79333352024369,4.13450347781094,88.8265520317665,514.601841373303,45710.3072383885,"M8","Acc",2,"MALE","AS"
"100","M8_PRE",5.57269376399856,3.97681002277369,86.5487776499292,482.309833491459,41743.3265372266,"M8","Day1",2,"MALE","AS"
"101","M9_COLD",5.19643960653779,3.71843428247867,84.0951338853627,436.995284438997,36749.1769521696,"M9","Cold",2,"MALE","AS"
"102","M9_DIET",5.0889812853721,3.69452942594406,78.8079847626753,401.052359595144,31606.1282440091,"M9","Diet",2,"MALE","AS"
"103","M9_HEAT",5.57336050263561,3.99034275792809,97.854326539413,545.377438546772,53367.5419587845,"M9","Heat",2,"MALE","AS"
"104","M9_POST",5.42795148975903,3.88745876365165,98.1670015446693,532.845722279565,52307.8668420885,"M9","Acc",2,"MALE","AS"
"105","M9_PRE",6.07155520970114,4.44147071809638,18.2696966236808,110.925471715169,2026.57471607482,"M9","Day1",2,"MALE","AS"
