"","sample_id","diversity","individual_id","treatment","cage","sex","species"
"1","M10_COLD",30.0221434568662,"M10","Cold",1,"MALE","AS"
"2","M10_DIET",41.5267033380924,"M10","Diet",1,"MALE","AS"
"3","M10_HEAT",26.8279662430227,"M10","Heat",1,"MALE","AS"
"4","M10_POST",36.8512297303942,"M10","Acc",1,"MALE","AS"
"5","M10_PRE",18.8724038621479,"M10","Day1",1,"MALE","AS"
"6","M11_COLD",44.002453544278,"M11","Cold",3,"FEMALE","AS"
"7","M11_DIET",40.224368069872,"M11","Diet",3,"FEMALE","AS"
"8","M11_HEAT",38.4527745984932,"M11","Heat",3,"FEMALE","AS"
"9","M11_POST",49.6338303766701,"M11","Acc",3,"FEMALE","AS"
"10","M11_PRE",45.3016140533752,"M11","Day1",3,"FEMALE","AS"
"11","M12_DIET",22.0606391181405,"M12","Diet",4,"MALE","AS"
"12","M12_HEAT",26.5866327931716,"M12","Heat",4,"MALE","AS"
"13","M12_POST",26.1830585750865,"M12","Acc",4,"MALE","AS"
"14","M12_PRE",25.0667111773673,"M12","Day1",4,"MALE","AS"
"15","M13_COLD",17.472782090513,"M13","Cold",4,"MALE","AS"
"16","M13_DIET",34.2472254284808,"M13","Diet",4,"MALE","AS"
"17","M13_HEAT",23.2400498838913,"M13","Heat",4,"MALE","AS"
"18","M13_POST",30.8983728750309,"M13","Acc",4,"MALE","AS"
"19","M13_PRE",24.5229572887152,"M13","Day1",4,"MALE","AS"
"20","M14_COLD",13.8799390158605,"M14","Cold",4,"MALE","AS"
"21","M14_DIET",22.8774542051065,"M14","Diet",4,"MALE","AS"
"22","M14_HEAT",21.7897204825473,"M14","Heat",4,"MALE","AS"
"23","M14_POST",32.4901827966899,"M14","Acc",4,"MALE","AS"
"24","M14_PRE",28.5764135411038,"M14","Day1",4,"MALE","AS"
"25","M15_COLD",29.9491944123518,"M15","Cold",4,"MALE","AS"
"26","M15_DIET",26.4806294873173,"M15","Diet",4,"MALE","AS"
"27","M15_HEAT",26.2361351313505,"M15","Heat",4,"MALE","AS"
"28","M15_POST",32.7192293620099,"M15","Acc",4,"MALE","AS"
"29","M15_PRE",33.860496193104,"M15","Day1",4,"MALE","AS"
"30","M16_COLD",42.0548549834994,"M16","Cold",3,"FEMALE","AS"
"31","M16_DIET",31.6482407836183,"M16","Diet",3,"FEMALE","AS"
"32","M16_HEAT",26.9354193337026,"M16","Heat",3,"FEMALE","AS"
"33","M16_POST",36.1552143029659,"M16","Acc",3,"FEMALE","AS"
"34","M16_PRE",35.7640103449528,"M16","Day1",3,"FEMALE","AS"
"35","M17_COLD",35.3435397128352,"M17","Cold",3,"FEMALE","AS"
"36","M17_DIET",29.223019651713,"M17","Diet",3,"FEMALE","AS"
"37","M17_HEAT",44.1173712921728,"M17","Heat",3,"FEMALE","AS"
"38","M17_POST",39.5524020355773,"M17","Acc",3,"FEMALE","AS"
"39","M18_COLD",36.2510111292344,"M18","Cold",3,"FEMALE","AS"
"40","M18_DIET",30.2667635723064,"M18","Diet",3,"FEMALE","AS"
"41","M18_HEAT",29.4342869579603,"M18","Heat",3,"FEMALE","AS"
"42","M18_POST",42.8920210179362,"M18","Acc",3,"FEMALE","AS"
"43","M18_PRE",39.885737286864,"M18","Day1",3,"FEMALE","AS"
"44","M19_COLD",36.1841443693924,"M19","Cold",2,"MALE","AS"
"45","M19_DIET",26.6903561968813,"M19","Diet",2,"MALE","AS"
"46","M19_HEAT",37.2265986552044,"M19","Heat",2,"MALE","AS"
"47","M19_POST",30.9168096996224,"M19","Acc",2,"MALE","AS"
"48","M19_PRE",29.2143661293471,"M19","Day1",2,"MALE","AS"
"49","M1_COLD",23.0579418839581,"M1","Cold",1,"MALE","AS"
"50","M1_DIET",36.3597323261815,"M1","Diet",1,"MALE","AS"
"51","M1_HEAT",23.1381776302945,"M1","Heat",1,"MALE","AS"
"52","M1_POST",26.1267324141429,"M1","Acc",1,"MALE","AS"
"53","M1_PRE",30.8130250410807,"M1","Day1",1,"MALE","AS"
"54","M21_COLD",37.5856535825103,"M21","Cold",4,"MALE","AS"
"55","M21_DIET",33.699120842369,"M21","Diet",4,"MALE","AS"
"56","M21_POST",37.6083735417598,"M21","Acc",4,"MALE","AS"
"57","M21_PRE",37.1193709498354,"M21","Day1",4,"MALE","AS"
"58","M22_COLD",34.2206844815669,"M22","Cold",2,"MALE","AS"
"59","M22_DIET",32.1542136283586,"M22","Diet",2,"MALE","AS"
"60","M22_HEAT",33.9934860261238,"M22","Heat",2,"MALE","AS"
"61","M22_POST",26.7259157520915,"M22","Acc",2,"MALE","AS"
"62","M22_PRE",27.1925632663562,"M22","Day1",2,"MALE","AS"
"63","M24_COLD",28.144521807676,"M24","Cold",5,"MALE","AS"
"64","M24_DIET",28.5546184823886,"M24","Diet",5,"MALE","AS"
"65","M24_HEAT",23.6878784175178,"M24","Heat",5,"MALE","AS"
"66","M24_POST",35.447707358345,"M24","Acc",5,"MALE","AS"
"67","M24_PRE",24.6474459183879,"M24","Day1",5,"MALE","AS"
"68","M25_COLD",30.5725263415007,"M25","Cold",5,"MALE","AS"
"69","M25_DIET",32.4079306096235,"M25","Diet",5,"MALE","AS"
"70","M25_HEAT",13.9069873409937,"M25","Heat",5,"MALE","AS"
"71","M25_POST",21.0063971676185,"M25","Acc",5,"MALE","AS"
"72","M25_PRE",17.8339144791422,"M25","Day1",5,"MALE","AS"
"73","M2_COLD",13.4537541329619,"M2","Cold",1,"MALE","AS"
"74","M2_DIET",36.0017237405096,"M2","Diet",1,"MALE","AS"
"75","M2_HEAT",25.0409116531281,"M2","Heat",1,"MALE","AS"
"76","M2_POST",21.349520092669,"M2","Acc",1,"MALE","AS"
"77","M2_PRE",28.1940076347993,"M2","Day1",1,"MALE","AS"
"78","M3_COLD",29.2206309373979,"M3","Cold",1,"MALE","AS"
"79","M3_DIET",28.3383199623513,"M3","Diet",1,"MALE","AS"
"80","M3_HEAT",19.2448822107057,"M3","Heat",1,"MALE","AS"
"81","M3_POST",38.6506633111918,"M3","Acc",1,"MALE","AS"
"82","M3_PRE",32.59361251867,"M3","Day1",1,"MALE","AS"
"83","M4_COLD",36.839913874386,"M4","Cold",1,"MALE","AS"
