"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"1","M1",0.194668506923021,"M1_DIET","Diet","1","MALE","AS",0.805331493076979
"2","M1",0.194668506923021,"M1_COLD","Cold","1","MALE","AS",0.805331493076979
"3","M1",0.194668506923021,"M1_POST","Acc","1","MALE","AS",0.805331493076979
"4","M1",0.194668506923021,"M1_HEAT","Heat","1","MALE","AS",0.805331493076979
"5","M1",0.194668506923021,"M1_PRE","Day1","1","MALE","AS",0.805331493076979
"6","M10",0.222550892102484,"M10_DIET","Diet","1","MALE","AS",0.777449107897516
"7","M10",0.222550892102484,"M10_COLD","Cold","1","MALE","AS",0.777449107897516
"8","M10",0.222550892102484,"M10_HEAT","Heat","1","MALE","AS",0.777449107897516
"9","M10",0.222550892102484,"M10_PRE","Day1","1","MALE","AS",0.777449107897516
"10","M10",0.222550892102484,"M10_POST","Acc","1","MALE","AS",0.777449107897516
"11","M11",0.180445370058862,"M11_PRE","Day1","3","FEMALE","AS",0.819554629941138
"12","M11",0.180445370058862,"M11_DIET","Diet","3","FEMALE","AS",0.819554629941138
"13","M11",0.180445370058862,"M11_HEAT","Heat","3","FEMALE","AS",0.819554629941138
"14","M11",0.180445370058862,"M11_POST","Acc","3","FEMALE","AS",0.819554629941138
"15","M11",0.180445370058862,"M11_COLD","Cold","3","FEMALE","AS",0.819554629941138
"16","M13",0.16781325153215,"M13_COLD","Cold","4","MALE","AS",0.83218674846785
"17","M13",0.16781325153215,"M13_DIET","Diet","4","MALE","AS",0.83218674846785
"18","M13",0.16781325153215,"M13_HEAT","Heat","4","MALE","AS",0.83218674846785
"19","M13",0.16781325153215,"M13_PRE","Day1","4","MALE","AS",0.83218674846785
"20","M13",0.16781325153215,"M13_POST","Acc","4","MALE","AS",0.83218674846785
"21","M14",0.312336442864707,"M14_COLD","Cold","4","MALE","AS",0.687663557135293
"22","M14",0.312336442864707,"M14_DIET","Diet","4","MALE","AS",0.687663557135293
"23","M14",0.312336442864707,"M14_HEAT","Heat","4","MALE","AS",0.687663557135293
"24","M14",0.312336442864707,"M14_PRE","Day1","4","MALE","AS",0.687663557135293
"25","M14",0.312336442864707,"M14_POST","Acc","4","MALE","AS",0.687663557135293
"26","M15",0.247308957667839,"M15_PRE","Day1","4","MALE","AS",0.752691042332161
"27","M15",0.247308957667839,"M15_HEAT","Heat","4","MALE","AS",0.752691042332161
"28","M15",0.247308957667839,"M15_DIET","Diet","4","MALE","AS",0.752691042332161
"29","M15",0.247308957667839,"M15_POST","Acc","4","MALE","AS",0.752691042332161
"30","M15",0.247308957667839,"M15_COLD","Cold","4","MALE","AS",0.752691042332161
"31","M16",0.250558411748378,"M16_COLD","Cold","3","FEMALE","AS",0.749441588251622
"32","M16",0.250558411748378,"M16_POST","Acc","3","FEMALE","AS",0.749441588251622
"33","M16",0.250558411748378,"M16_PRE","Day1","3","FEMALE","AS",0.749441588251622
"34","M16",0.250558411748378,"M16_DIET","Diet","3","FEMALE","AS",0.749441588251622
"35","M16",0.250558411748378,"M16_HEAT","Heat","3","FEMALE","AS",0.749441588251622
"36","M18",0.232612435925231,"M18_DIET","Diet","3","FEMALE","AS",0.767387564074769
"37","M18",0.232612435925231,"M18_POST","Acc","3","FEMALE","AS",0.767387564074769
"38","M18",0.232612435925231,"M18_HEAT","Heat","3","FEMALE","AS",0.767387564074769
"39","M18",0.232612435925231,"M18_COLD","Cold","3","FEMALE","AS",0.767387564074769
"40","M18",0.232612435925231,"M18_PRE","Day1","3","FEMALE","AS",0.767387564074769
"41","M19",0.237474774807382,"M19_COLD","Cold","2","MALE","AS",0.762525225192618
"42","M19",0.237474774807382,"M19_POST","Acc","2","MALE","AS",0.762525225192618
"43","M19",0.237474774807382,"M19_DIET","Diet","2","MALE","AS",0.762525225192618
"44","M19",0.237474774807382,"M19_HEAT","Heat","2","MALE","AS",0.762525225192618
"45","M19",0.237474774807382,"M19_PRE","Day1","2","MALE","AS",0.762525225192618
"46","M2",0.206101647029233,"M2_POST","Acc","1","MALE","AS",0.793898352970767
"47","M2",0.206101647029233,"M2_HEAT","Heat","1","MALE","AS",0.793898352970767
"48","M2",0.206101647029233,"M2_COLD","Cold","1","MALE","AS",0.793898352970767
"49","M2",0.206101647029233,"M2_DIET","Diet","1","MALE","AS",0.793898352970767
"50","M2",0.206101647029233,"M2_PRE","Day1","1","MALE","AS",0.793898352970767
"51","M22",0.351606307833356,"M22_DIET","Diet","2","MALE","AS",0.648393692166644
"52","M22",0.351606307833356,"M22_COLD","Cold","2","MALE","AS",0.648393692166644
"53","M22",0.351606307833356,"M22_POST","Acc","2","MALE","AS",0.648393692166644
"54","M22",0.351606307833356,"M22_HEAT","Heat","2","MALE","AS",0.648393692166644
"55","M22",0.351606307833356,"M22_PRE","Day1","2","MALE","AS",0.648393692166644
"56","M24",0.449853221100224,"M24_DIET","Diet","5","MALE","AS",0.550146778899776
"57","M24",0.449853221100224,"M24_POST","Acc","5","MALE","AS",0.550146778899776
"58","M24",0.449853221100224,"M24_COLD","Cold","5","MALE","AS",0.550146778899776
"59","M24",0.449853221100224,"M24_PRE","Day1","5","MALE","AS",0.550146778899776
"60","M24",0.449853221100224,"M24_HEAT","Heat","5","MALE","AS",0.550146778899776
"61","M25",0.38305299380255,"M25_PRE","Day1","5","MALE","AS",0.61694700619745
"62","M25",0.38305299380255,"M25_HEAT","Heat","5","MALE","AS",0.61694700619745
"63","M25",0.38305299380255,"M25_POST","Acc","5","MALE","AS",0.61694700619745
"64","M25",0.38305299380255,"M25_COLD","Cold","5","MALE","AS",0.61694700619745
"65","M25",0.38305299380255,"M25_DIET","Diet","5","MALE","AS",0.61694700619745
"66","M3",0.288099599131257,"M3_HEAT","Heat","1","MALE","AS",0.711900400868743
"67","M3",0.288099599131257,"M3_POST","Acc","1","MALE","AS",0.711900400868743
