"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"1","M1",0.0976260697581263,"M1_DIET","Diet","1","MALE","AS",0.902373930241874
"2","M1",0.0976260697581263,"M1_COLD","Cold","1","MALE","AS",0.902373930241874
"3","M1",0.0976260697581263,"M1_POST","Acc","1","MALE","AS",0.902373930241874
"4","M1",0.0976260697581263,"M1_HEAT","Heat","1","MALE","AS",0.902373930241874
"5","M1",0.0976260697581263,"M1_PRE","Day1","1","MALE","AS",0.902373930241874
"6","M10",0.120819186859898,"M10_DIET","Diet","1","MALE","AS",0.879180813140102
"7","M10",0.120819186859898,"M10_COLD","Cold","1","MALE","AS",0.879180813140102
"8","M10",0.120819186859898,"M10_HEAT","Heat","1","MALE","AS",0.879180813140102
"9","M10",0.120819186859898,"M10_PRE","Day1","1","MALE","AS",0.879180813140102
"10","M10",0.120819186859898,"M10_POST","Acc","1","MALE","AS",0.879180813140102
"11","M11",0.0969954267406316,"M11_PRE","Day1","3","FEMALE","AS",0.903004573259368
"12","M11",0.0969954267406316,"M11_DIET","Diet","3","FEMALE","AS",0.903004573259368
"13","M11",0.0969954267406316,"M11_HEAT","Heat","3","FEMALE","AS",0.903004573259368
"14","M11",0.0969954267406316,"M11_POST","Acc","3","FEMALE","AS",0.903004573259368
"15","M11",0.0969954267406316,"M11_COLD","Cold","3","FEMALE","AS",0.903004573259368
"16","M13",0.0915204073729787,"M13_COLD","Cold","4","MALE","AS",0.908479592627021
"17","M13",0.0915204073729787,"M13_DIET","Diet","4","MALE","AS",0.908479592627021
"18","M13",0.0915204073729787,"M13_HEAT","Heat","4","MALE","AS",0.908479592627021
"19","M13",0.0915204073729787,"M13_PRE","Day1","4","MALE","AS",0.908479592627021
"20","M13",0.0915204073729787,"M13_POST","Acc","4","MALE","AS",0.908479592627021
"21","M14",0.167708420369285,"M14_COLD","Cold","4","MALE","AS",0.832291579630715
"22","M14",0.167708420369285,"M14_DIET","Diet","4","MALE","AS",0.832291579630715
"23","M14",0.167708420369285,"M14_HEAT","Heat","4","MALE","AS",0.832291579630715
"24","M14",0.167708420369285,"M14_PRE","Day1","4","MALE","AS",0.832291579630715
"25","M14",0.167708420369285,"M14_POST","Acc","4","MALE","AS",0.832291579630715
"26","M15",0.142706559440016,"M15_PRE","Day1","4","MALE","AS",0.857293440559984
"27","M15",0.142706559440016,"M15_HEAT","Heat","4","MALE","AS",0.857293440559984
"28","M15",0.142706559440016,"M15_DIET","Diet","4","MALE","AS",0.857293440559984
"29","M15",0.142706559440016,"M15_POST","Acc","4","MALE","AS",0.857293440559984
"30","M15",0.142706559440016,"M15_COLD","Cold","4","MALE","AS",0.857293440559984
"31","M16",0.124367680758078,"M16_COLD","Cold","3","FEMALE","AS",0.875632319241922
"32","M16",0.124367680758078,"M16_POST","Acc","3","FEMALE","AS",0.875632319241922
"33","M16",0.124367680758078,"M16_PRE","Day1","3","FEMALE","AS",0.875632319241922
"34","M16",0.124367680758078,"M16_DIET","Diet","3","FEMALE","AS",0.875632319241922
"35","M16",0.124367680758078,"M16_HEAT","Heat","3","FEMALE","AS",0.875632319241922
"36","M18",0.122771066120831,"M18_DIET","Diet","3","FEMALE","AS",0.877228933879169
"37","M18",0.122771066120831,"M18_POST","Acc","3","FEMALE","AS",0.877228933879169
"38","M18",0.122771066120831,"M18_HEAT","Heat","3","FEMALE","AS",0.877228933879169
"39","M18",0.122771066120831,"M18_COLD","Cold","3","FEMALE","AS",0.877228933879169
"40","M18",0.122771066120831,"M18_PRE","Day1","3","FEMALE","AS",0.877228933879169
"41","M19",0.125762834409247,"M19_COLD","Cold","2","MALE","AS",0.874237165590753
"42","M19",0.125762834409247,"M19_POST","Acc","2","MALE","AS",0.874237165590753
"43","M19",0.125762834409247,"M19_DIET","Diet","2","MALE","AS",0.874237165590753
"44","M19",0.125762834409247,"M19_HEAT","Heat","2","MALE","AS",0.874237165590753
"45","M19",0.125762834409247,"M19_PRE","Day1","2","MALE","AS",0.874237165590753
"46","M2",0.112729015291701,"M2_POST","Acc","1","MALE","AS",0.887270984708299
"47","M2",0.112729015291701,"M2_HEAT","Heat","1","MALE","AS",0.887270984708299
"48","M2",0.112729015291701,"M2_COLD","Cold","1","MALE","AS",0.887270984708299
"49","M2",0.112729015291701,"M2_DIET","Diet","1","MALE","AS",0.887270984708299
"50","M2",0.112729015291701,"M2_PRE","Day1","1","MALE","AS",0.887270984708299
"51","M22",0.185972773962627,"M22_DIET","Diet","2","MALE","AS",0.814027226037373
"52","M22",0.185972773962627,"M22_COLD","Cold","2","MALE","AS",0.814027226037373
"53","M22",0.185972773962627,"M22_POST","Acc","2","MALE","AS",0.814027226037373
"54","M22",0.185972773962627,"M22_HEAT","Heat","2","MALE","AS",0.814027226037373
"55","M22",0.185972773962627,"M22_PRE","Day1","2","MALE","AS",0.814027226037373
"56","M24",0.265822125762963,"M24_DIET","Diet","5","MALE","AS",0.734177874237037
"57","M24",0.265822125762963,"M24_POST","Acc","5","MALE","AS",0.734177874237037
"58","M24",0.265822125762963,"M24_COLD","Cold","5","MALE","AS",0.734177874237037
"59","M24",0.265822125762963,"M24_PRE","Day1","5","MALE","AS",0.734177874237037
"60","M24",0.265822125762963,"M24_HEAT","Heat","5","MALE","AS",0.734177874237037
"61","M25",0.194680933301654,"M25_PRE","Day1","5","MALE","AS",0.805319066698346
"62","M25",0.194680933301654,"M25_HEAT","Heat","5","MALE","AS",0.805319066698346
"63","M25",0.194680933301654,"M25_POST","Acc","5","MALE","AS",0.805319066698346
"64","M25",0.194680933301654,"M25_COLD","Cold","5","MALE","AS",0.805319066698346
"65","M25",0.194680933301654,"M25_DIET","Diet","5","MALE","AS",0.805319066698346
"66","M3",0.153633844437242,"M3_HEAT","Heat","1","MALE","AS",0.846366155562758
"67","M3",0.153633844437242,"M3_POST","Acc","1","MALE","AS",0.846366155562758
"68","M3",0.153633844437242,"M3_PRE","Day1","1","MALE","AS",0.846366155562758
"69","M3",0.153633844437242,"M3_COLD","Cold","1","MALE","AS",0.846366155562758
"70","M3",0.153633844437242,"M3_DIET","Diet","1","MALE","AS",0.846366155562758
"71","M4",0.202422570913496,"M4_HEAT","Heat","1","MALE","AS",0.797577429086504
"72","M4",0.202422570913496,"M4_POST","Acc","1","MALE","AS",0.797577429086504
"73","M4",0.202422570913496,"M4_DIET","Diet","1","MALE","AS",0.797577429086504
"74","M4",0.202422570913496,"M4_PRE","Day1","1","MALE","AS",0.797577429086504
"75","M4",0.202422570913496,"M4_COLD","Cold","1","MALE","AS",0.797577429086504
"76","M6",0.131295424020532,"M6_COLD","Cold","3","FEMALE","AS",0.868704575979468
"77","M6",0.131295424020532,"M6_PRE","Day1","3","FEMALE","AS",0.868704575979468
"78","M6",0.131295424020532,"M6_POST","Acc","3","FEMALE","AS",0.868704575979468
"79","M6",0.131295424020532,"M6_DIET","Diet","3","FEMALE","AS",0.868704575979468
"80","M6",0.131295424020532,"M6_HEAT","Heat","3","FEMALE","AS",0.868704575979468
"81","M9",0.209945471489546,"M9_HEAT","Heat","2","MALE","AS",0.790054528510454
"82","M9",0.209945471489546,"M9_COLD","Cold","2","MALE","AS",0.790054528510454
"83","M9",0.209945471489546,"M9_DIET","Diet","2","MALE","AS",0.790054528510454
"84","M9",0.209945471489546,"M9_PRE","Day1","2","MALE","AS",0.790054528510454
"85","M9",0.209945471489546,"M9_POST","Acc","2","MALE","AS",0.790054528510454
"86","S10",0.356175370319073,"COLD_S10","Cold","3","MALE","CR",0.643824629680927
"87","S10",0.356175370319073,"DIET_S10","Diet","3","MALE","CR",0.643824629680927
"88","S10",0.356175370319073,"HEAT_S10","Heat","3","MALE","CR",0.643824629680927
"89","S10",0.356175370319073,"POST_S10","Acc","3","MALE","CR",0.643824629680927
"90","S10",0.356175370319073,"PRE_S10","Day1","3","MALE","CR",0.643824629680927
"91","S11",0.35050324369412,"COLD_S11","Cold","2","FEMALE","CR",0.64949675630588
"92","S11",0.35050324369412,"DIET_S11","Diet","2","FEMALE","CR",0.64949675630588
"93","S11",0.35050324369412,"HEAT_S11","Heat","2","FEMALE","CR",0.64949675630588
"94","S11",0.35050324369412,"POST_S11","Acc","2","FEMALE","CR",0.64949675630588
"95","S11",0.35050324369412,"PRE_S11","Day1","2","FEMALE","CR",0.64949675630588
"96","S12",0.324531045192588,"COLD_S12","Cold","5","MALE","CR",0.675468954807412
"97","S12",0.324531045192588,"DIET_S12","Diet","5","MALE","CR",0.675468954807412
"98","S12",0.324531045192588,"HEAT_S12","Heat","5","MALE","CR",0.675468954807412
"99","S12",0.324531045192588,"POST_S12","Acc","5","MALE","CR",0.675468954807412
"100","S12",0.324531045192588,"PRE_S12","Day1","5","MALE","CR",0.675468954807412
"101","S13",0.226778728905707,"COLD_S13","Cold","1","MALE","CR",0.773221271094293
