"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"1","M1",0.196554174339612,"M1_DIET","Diet","1","MALE","AS",0.803445825660388
"2","M1",0.196554174339612,"M1_COLD","Cold","1","MALE","AS",0.803445825660388
"3","M1",0.196554174339612,"M1_POST","Acc","1","MALE","AS",0.803445825660388
"4","M1",0.196554174339612,"M1_HEAT","Heat","1","MALE","AS",0.803445825660388
"5","M1",0.196554174339612,"M1_PRE","Day1","1","MALE","AS",0.803445825660388
"6","M10",0.218506920514516,"M10_DIET","Diet","1","MALE","AS",0.781493079485484
"7","M10",0.218506920514516,"M10_COLD","Cold","1","MALE","AS",0.781493079485484
"8","M10",0.218506920514516,"M10_HEAT","Heat","1","MALE","AS",0.781493079485484
"9","M10",0.218506920514516,"M10_PRE","Day1","1","MALE","AS",0.781493079485484
"10","M10",0.218506920514516,"M10_POST","Acc","1","MALE","AS",0.781493079485484
"11","M11",0.179942215109959,"M11_PRE","Day1","3","FEMALE","AS",0.820057784890041
"12","M11",0.179942215109959,"M11_DIET","Diet","3","FEMALE","AS",0.820057784890041
"13","M11",0.179942215109959,"M11_HEAT","Heat","3","FEMALE","AS",0.820057784890041
"14","M11",0.179942215109959,"M11_POST","Acc","3","FEMALE","AS",0.820057784890041
"15","M11",0.179942215109959,"M11_COLD","Cold","3","FEMALE","AS",0.820057784890041
"16","M13",0.160687920553047,"M13_COLD","Cold","4","MALE","AS",0.839312079446953
"17","M13",0.160687920553047,"M13_DIET","Diet","4","MALE","AS",0.839312079446953
"18","M13",0.160687920553047,"M13_HEAT","Heat","4","MALE","AS",0.839312079446953
"19","M13",0.160687920553047,"M13_PRE","Day1","4","MALE","AS",0.839312079446953
"20","M13",0.160687920553047,"M13_POST","Acc","4","MALE","AS",0.839312079446953
"21","M14",0.305508859555736,"M14_COLD","Cold","4","MALE","AS",0.694491140444264
"22","M14",0.305508859555736,"M14_DIET","Diet","4","MALE","AS",0.694491140444264
"23","M14",0.305508859555736,"M14_HEAT","Heat","4","MALE","AS",0.694491140444264
"24","M14",0.305508859555736,"M14_PRE","Day1","4","MALE","AS",0.694491140444264
"25","M14",0.305508859555736,"M14_POST","Acc","4","MALE","AS",0.694491140444264
"26","M15",0.251515633338183,"M15_PRE","Day1","4","MALE","AS",0.748484366661817
