Filename,sample_title,tax_id,scientific_name,sample_alias,project_name,geographic_location_country_andor_sea,geographic_location_latitude,geographic_location_longitude,environmental_medium,read_number,collection_date,sample_description
cold_s10_1.fastq.gz,cold_s10_1,Crocidura_russula,Crocidura_russula,cold_s10,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s10_2.fastq.gz,cold_s10_2,Crocidura_russula,Crocidura_russula,cold_s10,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s11_1.fastq.gz,cold_s11_1,Crocidura_russula,Crocidura_russula,cold_s11,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s11_2.fastq.gz,cold_s11_2,Crocidura_russula,Crocidura_russula,cold_s11,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s12_1.fastq.gz,cold_s12_1,Crocidura_russula,Crocidura_russula,cold_s12,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s12_2.fastq.gz,cold_s12_2,Crocidura_russula,Crocidura_russula,cold_s12,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s13_1.fastq.gz,cold_s13_1,Crocidura_russula,Crocidura_russula,cold_s13,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s13_2.fastq.gz,cold_s13_2,Crocidura_russula,Crocidura_russula,cold_s13,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s14_1.fastq.gz,cold_s14_1,Crocidura_russula,Crocidura_russula,cold_s14,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s14_2.fastq.gz,cold_s14_2,Crocidura_russula,Crocidura_russula,cold_s14,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s16_1.fastq.gz,cold_s16_1,Crocidura_russula,Crocidura_russula,cold_s16,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s16_2.fastq.gz,cold_s16_2,Crocidura_russula,Crocidura_russula,cold_s16,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s18_1.fastq.gz,cold_s18_1,Crocidura_russula,Crocidura_russula,cold_s18,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s18_2.fastq.gz,cold_s18_2,Crocidura_russula,Crocidura_russula,cold_s18,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
cold_s19_1.fastq.gz,cold_s19_1,Crocidura_russula,Crocidura_russula,cold_s19,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,1,2019/11/11,Cold
cold_s19_2.fastq.gz,cold_s19_2,Crocidura_russula,Crocidura_russula,cold_s19,ERA19381426,Spain,43.2848° N,2.1714° W,Faeces,2,2019/11/11,Cold
