"","D01","D02","D03","D04","D05","D06","D07","D08","D09","B01","B09","B02","B10","B03","B04","B05","B06","B07","B12","B11","B08"
"bin_m1.cct123",0,0,0,0,0,0,0,0.727272727272727,0,0,0,0.56,0.666666666666667,0.333333333333333,0,0,0.259259259259259,0,0,0,0.833333333333333
"bin_m1.mtb106",0.230769230769231,0,0,0,0.133333333333333,0,0.153846153846154,0,0.166666666666667,0.3,0,0,0.5,0.272727272727273,0,0,0,0,0,0,0.666666666666667
"bin_m1.mtb147",0.0769230769230769,0,0,0,0.133333333333333,0,0.307692307692308,0,0.416666666666667,0.3,0,0.6,0.333333333333333,0.424242424242424,0,0,0.296296296296296,0,0,0,0.666666666666667
"bin_m1.mtb2",0.230769230769231,0,0,0,0,0,0.461538461538462,0,0.25,0.3,0,0.48,0.5,0.272727272727273,0,0,0,0,0,0,0.166666666666667
"bin_m1.mxb107_sub",0.153846153846154,0.115384615384615,0,0,0,0,0,0.272727272727273,0.166666666666667,0,0,0.08,0.5,0.121212121212121,0,0,0.0740740740740741,0,0,0,0.666666666666667
"bin_m1.vmb35",0.0769230769230769,0,0,0,0,0,0.307692307692308,0,0.166666666666667,0,0,0.08,1,0.0606060606060606,0,0,0.111111111111111,0,0,0,0.166666666666667
"bin_m1.vmb46",0.0769230769230769,0,0,0,0.133333333333333,0,0,0,0.25,0,0,0.56,0.5,0.424242424242424,0,0,0.259259259259259,0,0,0,0.166666666666667
"bin_m10.cct0",0,0,0,0,0,0,0.307692307692308,0,0.333333333333333,0,0,0.48,0.333333333333333,0.363636363636364,0,0,0,0,0,0,0.5
"bin_m10.cct151",0.0769230769230769,0,0,0,0,0,0,0.272727272727273,0.0833333333333333,0,0,0.8,0.666666666666667,0,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_m10.cct29",0.153846153846154,0.0769230769230769,0,0,0,0,0.230769230769231,0,0.0833333333333333,0.3,0,0.48,0.666666666666667,0.484848484848485,0.0909090909090909,0,0.148148148148148,0,0,0,0.166666666666667
"bin_m10.cct54_sub",0,0,0,0,0.133333333333333,0,0.153846153846154,0.272727272727273,0.166666666666667,0,0,0.08,0.166666666666667,0.0909090909090909,0,0,0,0,0,0,0
"bin_m10.cct7_sub",0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
"bin_m10.mtb109",0,0.0769230769230769,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0.08,1,0.363636363636364,0,0,0.407407407407407,0,0,0,0.833333333333333
"bin_m10.mtb12",0.0769230769230769,0,0,0,0.133333333333333,0,0.307692307692308,0.272727272727273,0.0833333333333333,0,0,0.08,0.833333333333333,0.0909090909090909,0,0,0.444444444444444,0,0,0,0.666666666666667
"bin_m10.mtb135",0.0769230769230769,0,0,0,0.133333333333333,0,0.307692307692308,0.272727272727273,0.166666666666667,0,0,0.08,1,0.484848484848485,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_m10.mtb158",0.153846153846154,0,0,0,0,0,0.461538461538462,0,0.166666666666667,0,0,0,0.5,0,0,0,0.111111111111111,0,0,0,0.666666666666667
"bin_m10.mtb172_sub",0.692307692307692,0.0769230769230769,0,0,0.133333333333333,0,0.461538461538462,0,0.166666666666667,1,0,0.56,0.833333333333333,0.424242424242424,0,0,0.222222222222222,0,0,0,0.666666666666667
"bin_m10.mtb18_sub",0.230769230769231,0,0,0,0,0,0.153846153846154,0,0.25,0.3,0,0,0.5,0.181818181818182,0,0,0,0,0,0,0.666666666666667
"bin_m10.mtb180",0.0769230769230769,0,0,0,0.133333333333333,0,0.153846153846154,0,0,0,0,0.56,0.5,0.272727272727273,0,0,0.0740740740740741,0,0,0,0.166666666666667
"bin_m10.mtb200",0.153846153846154,0.115384615384615,0,0,0,0,0.307692307692308,0.272727272727273,0,0,0,0.08,1,0.424242424242424,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_m10.mtb203",0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.48,0.666666666666667,0.363636363636364,0,0,0.0740740740740741,0,0,0,0.666666666666667
"bin_m10.mtb248",0.153846153846154,0.230769230769231,0,0,0,0,0.153846153846154,0,0.166666666666667,0,0,0,0.5,0.272727272727273,0,0,0,0,0,0,0.666666666666667
"bin_m10.mtb37",0,0,0,0,0,0,0,0.272727272727273,0,0,0,0.08,0.166666666666667,0.0606060606060606,0,0,0.333333333333333,0,0,0,0.666666666666667
"bin_m10.mtb58",0.307692307692308,0.230769230769231,0,0,0,0,0,0,0.25,0.3,0,0.52,0.5,0.636363636363636,0.0909090909090909,0,0.333333333333333,0,0,0,0.666666666666667
"bin_m10.mtb70",0,0,0,0,0.133333333333333,0,0.153846153846154,0,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0
"bin_m10.mtb71",0.0769230769230769,0,0,0,0,0,0.461538461538462,0,0.25,0,0,0.56,0.5,0.393939393939394,0,0,0,0,0,0,0.166666666666667
"bin_m10.mtb86",0.0769230769230769,0,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0,0.5,0.181818181818182,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_m10.mxb17",0.0769230769230769,0,0,0,0,0,0.461538461538462,0,0.0833333333333333,0,0,0.48,0.5,0.393939393939394,0,0,0,0,0,0,0.166666666666667
"bin_m10.mxb39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_m10.mxb49",0.384615384615385,0,0,0,0,0,0,0,0.166666666666667,0,0,0.56,0.666666666666667,0.515151515151515,0,0,0.296296296296296,0,0,0,0.833333333333333
"bin_m10.mxb52",0.153846153846154,0,0,0,0.133333333333333,0,0.307692307692308,0.272727272727273,0.0833333333333333,0,0,0.12,1,0.0606060606060606,0,0,0.185185185185185,0,0,0,0.666666666666667
"bin_m10.mxb53",0.153846153846154,0.0769230769230769,0,0,0,0,0,0,0,0,0,0.72,0.833333333333333,0.0606060606060606,0,0,0.518518518518518,0,0,0,0.666666666666667
"bin_m10.mxb56_sub",0.153846153846154,0.769230769230769,0.2,0,0.466666666666667,0.04,0.538461538461538,0.727272727272727,0.25,0.7,0,1,0.666666666666667,0.878787878787879,0.0909090909090909,0,0.740740740740741,0,0,0,0.833333333333333
"bin_m10.mxb78_sub",0.307692307692308,0.115384615384615,0,0,0,0,0.307692307692308,0,0.25,0.3,0.714285714285714,0.52,0.5,0.454545454545455,0,0,0.111111111111111,0,0,0,0.666666666666667
"bin_m10.mxb87_sub",0.0769230769230769,0,0,0,0,0,0.153846153846154,0,0.166666666666667,0.3,0,0,0.666666666666667,0.181818181818182,0,0,0,0,0,0,0.666666666666667
"bin_m10.vmb1",0.230769230769231,0,0,0,0.133333333333333,0,0.384615384615385,0,0.166666666666667,0.3,0,0.6,0.333333333333333,0.545454545454545,0,0,0.407407407407407,0,0,0,0.5
"bin_m10.vmb10",0.307692307692308,0.115384615384615,0,0,0,0,0,0.272727272727273,0.166666666666667,0,0,0.8,0.5,0.0606060606060606,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_m10.vmb106",0.153846153846154,0.115384615384615,0,0,0,0,0,0.272727272727273,0,0,0,0.08,1,0.424242424242424,0,0,0.333333333333333,0,0,0,0.333333333333333
"bin_m10.vmb116",0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.04,1,0.272727272727273,0,0,0.259259259259259,0,0,0,0.666666666666667
"bin_m10.vmb122",0.153846153846154,0,0,0,0,0,0,0,0.166666666666667,0,0,0.48,0.833333333333333,0.333333333333333,0,0,0.0740740740740741,0,0,0,0.333333333333333
"bin_m10.vmb141",0,0,0,0,0,0,0.307692307692308,0.727272727272727,0.0833333333333333,0,0.714285714285714,0.8,0.833333333333333,0.757575757575758,0,0,0.259259259259259,0,0,0,0.833333333333333
"bin_m10.vmb15",0.0769230769230769,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.8,1,0.0606060606060606,0,0,0.518518518518518,0,0,0,0.666666666666667
"bin_m10.vmb163_sub",0.230769230769231,0,0,0,0.133333333333333,0,0.153846153846154,0,0.166666666666667,0,0,0.48,0.5,0.393939393939394,0,0,0,0,0,0,0.833333333333333
"bin_m10.vmb169",0.0769230769230769,0,0,0,0.133333333333333,0,0,0,0.25,0.3,0,0.52,0.5,0.636363636363636,0,0,0.148148148148148,0,0,0,0.666666666666667
"bin_m10.vmb194",0.230769230769231,0.423076923076923,0,0,0.133333333333333,0,0,0.272727272727273,0.166666666666667,0,0,0.84,1,0.484848484848485,0,0,0.518518518518518,0,0,0,0.833333333333333
"bin_m10.vmb32",0,0,0,0,0.133333333333333,0,0.153846153846154,0.272727272727273,0,0,0,0.04,0.5,0.121212121212121,0.0909090909090909,0,0,0,0,0,0
"bin_m10.vmb38",0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.08,0.333333333333333,0.0909090909090909,0,0,0,0,0,0,0
"bin_m10.vmb62",0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.08,0,0,0,0,0,0,0,0,0
"bin_m10.vmb68_sub",0.0769230769230769,0.115384615384615,0,0,0,0,0,0.272727272727273,0.166666666666667,0,0,0.08,0.5,0.484848484848485,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_m10.vmb93_sub",0.153846153846154,0.230769230769231,0,0,0,0,0.153846153846154,0,0.166666666666667,0.3,0,0,0.666666666666667,0.181818181818182,0,0,0,0,0,0,0.666666666666667
"bin_m10.vmb94",0.153846153846154,0.0769230769230769,0,0,0,0,0,0.272727272727273,0.0833333333333333,0,0,0.8,0.5,0.0909090909090909,0,0,0.518518518518518,0,0,0,0
"bin_m11.cct146_sub",0,0,0,0,0,0,0,0,0.416666666666667,0.3,0,0.48,0.5,0.272727272727273,0.0909090909090909,0,0.185185185185185,0,0,0,0.833333333333333
"bin_m11.cct159",0,0,0,0,0.133333333333333,0,0.461538461538462,0.272727272727273,0,0.3,0,0.56,0.5,0.575757575757576,0.0909090909090909,0,0.296296296296296,0,0,0,0.833333333333333
"bin_m11.cct57",0,0,0,0,0,0,0,0.727272727272727,0.0833333333333333,0,0,0.56,0.666666666666667,0.333333333333333,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_m11.cct71_sub",0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"bin_m11.cct89_sub",0.230769230769231,0,0,0,0.133333333333333,0,0.153846153846154,0,0.333333333333333,0,0,0.48,0.666666666666667,0.515151515151515,0,0,0.296296296296296,0,0,0,0.666666666666667
"bin_m11.cct96",0.153846153846154,0,0,0,0.133333333333333,0,0.153846153846154,0,0.25,0.3,0,0.56,0.333333333333333,0.575757575757576,0,0,0.0740740740740741,0,0,0,0.833333333333333
"bin_m11.mtb101",0.153846153846154,0,0,0,0.133333333333333,0,0.307692307692308,0,0.333333333333333,0.3,0,0.12,0.5,0.303030303030303,0,0,0.333333333333333,0,0,0,0.666666666666667
"bin_m11.mtb107",0.384615384615385,0,0,0,0.133333333333333,0,0,0.272727272727273,0.166666666666667,0,0,0.8,0.333333333333333,0,0,0,0.518518518518518,0,0,0,0.666666666666667
"bin_m11.mtb133",0,0.0769230769230769,0,0,0.133333333333333,0,0,0.272727272727273,0,0,0,0.56,0.833333333333333,0.393939393939394,0,0,0.37037037037037,0,0,0,0.833333333333333
"bin_m11.mtb193",0.230769230769231,0.115384615384615,0,0,0,0,0.307692307692308,0,0.166666666666667,0,0,0,0.5,0.454545454545455,0,0,0.481481481481481,0,0,0,0.833333333333333
"bin_m11.mtb203",0.153846153846154,0,0,0,0.133333333333333,0,0,0,0.25,0.3,0,0.6,0.5,0.606060606060606,0,0,0.555555555555556,0,0,0,0.666666666666667
"bin_m11.mtb206",0.0769230769230769,0,0,0,0,0,0,0,0.166666666666667,0.3,0,0,0.5,0.272727272727273,0,0,0,0,0,0,0.666666666666667
"bin_m11.mtb208",0,0.0769230769230769,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0.08,1,0.393939393939394,0,0,0.407407407407407,0,0,0,0.833333333333333
"bin_m11.mtb241_sub",0.153846153846154,0,0,0,0.133333333333333,0,0,0,0.166666666666667,0,0,0.56,0.5,0.636363636363636,0,0,0.148148148148148,0,0,0,0.833333333333333
"bin_m11.mtb243",0.230769230769231,0,0,0,0,0,0,0.272727272727273,0.166666666666667,0,0,0.08,0.333333333333333,0.0606060606060606,0,0,0.111111111111111,0,0,0,0.666666666666667
"bin_m11.mtb249",0,0,0,0,0,0,0.307692307692308,0,0.333333333333333,0,0,0.48,0.5,0.242424242424242,0,0,0,0,0,0,0
"bin_m11.mtb265",0.307692307692308,0.115384615384615,0,0,0.133333333333333,0,0.307692307692308,0,0.333333333333333,0.3,0,0.6,0.5,0.606060606060606,0,0,0.185185185185185,0,0,0,0.666666666666667
"bin_m11.mtb57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_m11.mtb58",0.0769230769230769,0.230769230769231,0,0,0,0,0.153846153846154,0,0.166666666666667,0,0,0.56,0.5,0.212121212121212,0,0,0.0740740740740741,0,0,0,0.166666666666667
"bin_m11.mtb59",0.230769230769231,0,0,0,0,0,0.461538461538462,0,0.166666666666667,0,0,0.48,0.666666666666667,0.515151515151515,0,0,0.0740740740740741,0,0,0,0.666666666666667
"bin_m11.mtb76",0.230769230769231,0.346153846153846,0,0,0.133333333333333,0,0,0,0.25,0.7,0,0.56,0.5,0.575757575757576,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_m11.mxb20",0.153846153846154,0.230769230769231,0,0,0,0,0,0,0.25,0.3,0,0,0.5,0.363636363636364,0,0,0,0,0,0,0.666666666666667
"bin_m11.mxb53",0.153846153846154,0,0,0,0,0,0.307692307692308,0,0,0.3,0,0.48,0.5,0.606060606060606,0,0,0.0740740740740741,0,0,0,0.666666666666667
"bin_m11.mxb6",0.0769230769230769,0.769230769230769,0.4,0,0.466666666666667,0.24,0.615384615384615,0.909090909090909,0.25,0.7,0,1,0.833333333333333,0.939393939393939,0.272727272727273,0,0.888888888888889,0,0,0,0.833333333333333
"bin_m11.vmb104",0.230769230769231,0,0,0,0.133333333333333,0,0.307692307692308,0,0.333333333333333,0.3,0,0.56,0.5,0.575757575757576,0.0909090909090909,0,0.296296296296296,0,0,0,0.833333333333333
"bin_m11.vmb173",0.230769230769231,0,0,0,0.133333333333333,0,0.153846153846154,0,0.0833333333333333,0.3,0,0.56,0.333333333333333,0.484848484848485,0,0,0,0,0,0,0.666666666666667
"bin_m11.vmb184",0.307692307692308,0,0,0,0,0,0,0.272727272727273,0,0,0,0.08,0.833333333333333,0.333333333333333,0,0,0.37037037037037,0,0,0,0.666666666666667
"bin_m11.vmb199",0.153846153846154,0,0,0,0,0,0.153846153846154,0,0.333333333333333,0.3,0,0.56,0.5,0.606060606060606,0.0909090909090909,0,0.222222222222222,0,0,0,0.833333333333333
"bin_m11.vmb200_sub",0.0769230769230769,0,0,0,0.133333333333333,0,0,0,0.0833333333333333,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0
"bin_m11.vmb25",0.153846153846154,0,0,0,0,0,0.153846153846154,0,0.166666666666667,0.3,0,0,0.666666666666667,0,0,0,0,0,0,0,0.666666666666667
"bin_m11.vmb32",0,0,0,0,0.133333333333333,0,0.153846153846154,0,0.166666666666667,0.3,0,0,0.5,0.272727272727273,0,0,0,0,0,0,0.666666666666667
"bin_m11.vmb45",0.230769230769231,0,0,0,0.133333333333333,0,0.307692307692308,0,0.166666666666667,0.3,0,0.56,0.666666666666667,0.666666666666667,0,0,0.407407407407407,0,0,0,0.666666666666667
"bin_m11.vmb61",0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.08,0.166666666666667,0,0,0,0,0,0,0,0
