Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5	Completeness	Contamination	Strain heterogeneity
m1.cct101	p__Bacteroidetes (UID2605)	350	314	208	10	276	27	1	0	0	97.16	10.74	23.33
m1.cct123	o__Campylobacterales (UID3068)	106	477	284	5	471	1	0	0	0	99.23	0.35	0
m1.cct12_sub	c__Clostridia (UID1118)	387	223	124	57	162	3	1	0	0	80.68	1.95	0
m1.cct21_sub	k__Bacteria (UID2569)	434	278	186	4	271	3	0	0	0	98.12	1.61	0
m1.cct27	k__Bacteria (UID1452)	924	151	101	53	89	9	0	0	0	59.73	6.83	33.33
m1.cct35_sub	k__Bacteria (UID2372)	131	177	106	45	128	4	0	0	0	74.72	1.35	25
m1.cct51	k__Bacteria (UID2495)	2993	147	91	51	93	3	0	0	0	58.5	1.75	0
m1.cct69	o__Clostridiales (UID1212)	172	263	149	4	254	5	0	0	0	97.99	2.91	0
m1.cct9_sub	p__Bacteroidetes (UID2605)	350	314	208	98	185	26	5	0	0	66.31	7.75	51.22
m1.mtb104	o__Bacteroidales (UID2617)	213	406	265	79	315	12	0	0	0	82.13	2.72	75
m1.mtb106	c__Clostridia (UID1118)	387	223	124	12	210	0	1	0	0	93.55	0.05	0
m1.mtb111	o__Bacteroidales (UID2617)	213	406	265	29	371	6	0	0	0	92.45	1.89	0
m1.mtb114	g__Lactobacillus (UID380)	58	449	129	1	446	2	0	0	0	99.22	0.13	0
m1.mtb12	o__Clostridiales (UID1212)	172	263	149	38	218	7	0	0	0	87.49	2.49	28.57
m1.mtb121	f__Lachnospiraceae (UID1255)	90	354	174	34	295	25	0	0	0	90.22	3.85	8
m1.mtb124_sub	c__Clostridia (UID1118)	387	223	124	28	184	11	0	0	0	83.84	3.58	36.36
m1.mtb127	f__Enterobacteriaceae (UID5124)	134	1173	336	24	1146	3	0	0	0	98.85	0.12	0
m1.mtb132	f__Lachnospiraceae (UID1255)	90	354	174	45	296	13	0	0	0	90.67	3.53	23.08
m1.mtb147	f__Lachnospiraceae (UID1255)	90	354	174	18	319	17	0	0	0	96.29	4.36	70.59
m1.mtb148	f__Lachnospiraceae (UID1255)	90	354	174	30	307	16	1	0	0	90.91	6.35	15.79
m1.mtb156	o__Clostridiales (UID1226)	155	278	158	48	213	17	0	0	0	86.72	3.93	23.53
m1.mtb158	k__Bacteria (UID3187)	2258	186	116	3	179	4	0	0	0	97.41	3.45	0
m1.mtb2	c__Clostridia (UID1118)	387	223	124	17	204	2	0	0	0	89.97	0.88	50
m1.mtb28	o__Clostridiales (UID1212)	172	263	149	53	195	15	0	0	0	76.49	2.63	40
m1.mtb30	o__Bacteroidales (UID2617)	213	406	265	28	372	6	0	0	0	96.94	1.45	16.67
m1.mtb34	c__Clostridia (UID1118)	387	223	124	20	197	6	0	0	0	88.71	3.66	0
m1.mtb39	c__Clostridia (UID1118)	387	223	124	70	141	10	2	0	0	72.86	5.64	12.5
m1.mtb46	k__Bacteria (UID2569)	434	278	186	0	272	6	0	0	0	100	2.96	16.67
m1.mtb52	o__Bacteroidales (UID2617)	213	406	265	27	368	11	0	0	0	93	2.44	18.18
m1.mtb53	f__Lachnospiraceae (UID1255)	90	354	174	51	289	14	0	0	0	84.15	5.18	7.14
m1.mtb70	o__Bacteroidales (UID2617)	213	406	265	8	373	23	2	0	0	98.16	7.57	27.59
m1.mtb79_sub	c__Deltaproteobacteria (UID3218)	61	284	169	123	159	2	0	0	0	52.51	0.68	50
m1.mtb86_sub	f__Lachnospiraceae (UID1255)	90	354	174	45	294	15	0	0	0	90.61	4.38	13.33
m1.mtb91	f__Lachnospiraceae (UID1255)	90	354	174	9	338	7	0	0	0	96.15	1.75	0
m1.mtb99_sub	o__Bacteroidales (UID2617)	213	406	265	57	336	13	0	0	0	87.76	3.18	30.77
m1.mxb107_sub	o__Bacteroidales (UID2657)	160	492	269	303	140	27	17	2	3	36.3	15.58	1.45
m1.mxb129	c__Clostridia (UID1085)	35	420	196	194	178	44	3	1	0	55.29	14.34	11.86
m1.mxb16	c__Clostridia (UID1118)	387	223	124	13	193	17	0	0	0	93.15	7.39	0
m1.mxb26_sub	o__Bacteroidales (UID2617)	213	406	265	195	210	1	0	0	0	50.72	0.19	100
m1.mxb34_sub	o__Bacteroidales (UID2617)	213	406	265	27	371	8	0	0	0	92.81	1.93	37.5
m1.vmb100	k__Bacteria (UID2329)	174	149	89	5	138	6	0	0	0	94.38	3.6	16.67
m1.vmb114	o__Bacteroidales (UID2617)	213	406	265	36	365	5	0	0	0	92.9	1.26	0
m1.vmb121	o__Lactobacillales (UID355)	490	336	184	19	315	2	0	0	0	95.92	1.09	0
m1.vmb123	o__Bacteroidales (UID2617)	213	406	265	25	367	14	0	0	0	97.17	1.9	14.29
m1.vmb20	o__Clostridiales (UID1212)	172	263	149	13	249	1	0	0	0	93.85	0.22	0
m1.vmb25_sub	p__Bacteroidetes (UID2605)	350	314	208	24	268	22	0	0	0	92.65	7.13	59.09
m1.vmb29	o__Bacteroidales (UID2617)	213	406	265	31	356	19	0	0	0	90.13	2.71	42.11
m1.vmb31	k__Bacteria (UID2329)	174	149	89	8	135	6	0	0	0	91.57	5.17	16.67
m1.vmb32	o__Clostridiales (UID1226)	155	278	158	41	236	1	0	0	0	92.37	0.63	0
m1.vmb35	p__Bacteroidetes (UID2605)	350	316	210	8	306	2	0	0	0	96.43	0.95	0
m1.vmb39	o__Bacteroidales (UID2617)	213	406	265	63	338	5	0	0	0	91.79	1.6	20
m1.vmb46	f__Lachnospiraceae (UID1286)	57	420	207	23	393	4	0	0	0	95.49	1.69	25
m1.vmb51	c__Clostridia (UID1118)	387	223	124	13	204	6	0	0	0	94.3	1.36	16.67
m1.vmb60	f__Lachnospiraceae (UID1255)	90	354	174	61	281	12	0	0	0	82.41	3.97	41.67
m1.vmb67_sub	g__Lactobacillus (UID377)	91	430	154	18	411	1	0	0	0	97.27	0.65	0
m1.vmb72	k__Bacteria (UID2328)	3167	126	75	3	120	3	0	0	0	96	0.89	0
m1.vmb80	p__Bacteroidetes (UID2605)	350	315	209	12	303	0	0	0	0	95.53	0	0
m1.vmb82	k__Bacteria (UID2569)	434	278	186	4	272	2	0	0	0	97.85	0.54	0
m1.vmb89	c__Clostridia (UID1118)	387	223	124	14	206	3	0	0	0	91.94	0.91	33.33
m1.vmb90	o__Lactobacillales (UID374)	471	350	191	1	347	2	0	0	0	99.48	0.7	100
m10.cct0	c__Clostridia (UID1118)	387	223	124	21	201	1	0	0	0	87.8	0.81	0
m10.cct107	k__Bacteria (UID2372)	131	177	106	27	141	9	0	0	0	80.35	2.12	33.33
m10.cct145_sub	f__Lachnospiraceae (UID1255)	90	354	174	60	287	6	1	0	0	80.8	2.59	0
m10.cct147_sub	p__Bacteroidetes (UID2605)	350	315	209	3	302	10	0	0	0	98.56	3.35	0
m10.cct151	o__Bacteroidales (UID2617)	213	406	265	46	342	17	1	0	0	89.81	2.75	20
m10.cct155_sub	k__Bacteria (UID2569)	434	278	186	53	216	9	0	0	0	80.29	3.32	11.11
m10.cct156	o__Clostridiales (UID1212)	172	263	149	9	243	11	0	0	0	95.75	3.05	9.09
m10.cct168	f__Lachnospiraceae (UID1255)	90	354	174	6	347	1	0	0	0	97.13	0.57	0
