"","D010101","D010201","D010301","D010401","D010501","D010601","D010701","D010801","D010901","D011001","D011101","D011201","D011301","D020101","D020102","D020103","D020201","D020301","D020302","D020401","D020402","D020403","D020404","D020501","D020502","D020601","D020602","D020603","D020604","D020605","D020606","D020701","D020702","D020801","D020802","D020803","D020901","D021001","D021002","D030101","D030102","D030201","D030301","D030401","D040101","D040201","D040301","D040401","D040501","D040601","D040701","D040801","D050101","D050102","D050201","D050202","D050301","D050302","D050303","D050401","D050501","D050601","D050701","D050702","D050801","D050901","D050902","D060101","D060102","D060103","D060201","D060301","D060401","D060402","D060501","D060502","D060601","D060701","D060702","D060801","D060901","D061001","D061101","D061201","D061301","D061401","D061501","D061502","D061601","D061701","D061801","D061901","D070101","D070201","D070202","D070301","D070401","D070402","D070403","D070404","D070501","D070601","D070701","D070801","D070901","D080101","D080102","D080103","D080104","D080105","D080201","D080301","D080302","D080303","D080401","D080402","D090101","D090201","D090301","D090401","D090501","D090601","D090701","D090801","D090901","D091001","D091101","D091201","B010101","B010102","B010103","B010104","B010105","B010106","B010201","B010202","B010203","B010204","B010205","B010206","B010207","B010208","B010301","B010302","B010303","B010304","B010305","B010306","B090101","B090102","B090103","B090104","B090105","B090201","B090301","B020401","B020402","B020501","B020101","B020102","B020103","B020104","B020105","B020106","B020201","B020202","B020203","B020204","B020205","B020206","B020207","B020208","B020209","B020210","B020211","B020212","B020301","B020302","B020303","B020304","B100101","B100201","B100301","B100401","B100501","B100601","B030401","B030501","B030601","B030602","B030603","B030701","B030801","B030901","B030902","B031001","B031101","B031102","B031103","B031104","B031105","B031106","B031201","B031202","B031301","B031401","B031402","B031501","B031601","B031701","B031702","B031801","B031802","B031901","B032001","B032002","B032101","B032102","B032103","B040101","B040201","B040202","B040301","B040401","B040501","B040601","B040701","B040801","B040901","B041001","B050101","B050201","B050301","B050401","B050501","B060101","B060102","B060103","B060104","B060201","B060301","B060401","B060402","B060501","B060502","B060601","B060602","B060603","B060604","B060701","B060702","B060703","B060801","B060802","B060803","B060901","B061001","B061101","B061102","B061103","B061201","B061202","B070101","B070201","B070301","B070401","B070402","B070501","B070601","B070701","B070801","B070802","B070901","B070902","B071001","B071002","B071101","B071102","B071201","B071202","B071301","B071302","B071303","B071304","B071305","B071401","B071402","B071403","B071601","B071701","B071801","B071901","B072001","B072101","B072201","B072301","B072302","B072401","B072402","B072501","B072601","B072701","B072801","B072802","B072901","B073001","B073002","B073101","B073201","B073202","B073301","B073401","B073501","B073601","B073701","B073801","B073901","B074001","B074101","B074102","B074201","B074202","B120101","B120201","B120301","B120302","B120401","B120402","B120501","B110101","B110102","B110103","B110104","B110201","B110202","B110301","B080101","B080201","B080301","B080302","B080303","B080404"
"bin_m1.cct123",0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.33,0,0,0,0,0,0.5,0,0,0.25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.33,0.5,0.67,0.29,0.67,0.4,0.29,0.17,0.14,0.29,0.29,0.5,0.67,0,0.4,0,0,0,0,0,0.33,0,0.25,0.5,0,1,0,0.75,0.8,0,0.46,0.08,0.57,0.75,0.8,0.6,0,0,0.75,0.46,0.08,0.57,0,1,0.43,0.75,0.67,0.6,0.18,1,0.78,1,1,0.75,1,0.67,1,1,0,0.33,0.86,1,1,1,1,0.89,0.67,0.83,0.86,0,0,1,0.43,0.5,0,0,0.95,0.83,0.5,0,0.5,0.33,0,0,0,0.75,0,0.6,0,0,0,0.4,0.33,0,0,0,0,0,0,0.5,0,0,0,0,0.88,0.87,1,1,1,0,1,0.75,0.17,0,0.67,0.5,0.4,0.6,0.35,0.17,0.2,0,0,0,0,0,0,0.67,0.8,0.22,0,0,0.03,0,0,0.17,0,0,0,0,0,0,0.25,0,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,1,0.86,0.78,1
"bin_m1.mtb106",0.15,0.38,0.43,0.25,0.31,0.86,0.83,0.29,0.23,0.25,0,0.86,0.5,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,0,0,0.04,0,0,0.08,0.33,0,0,0,0.67,1,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0.5,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.22,0.5,1,0.14,0.67,0,0,0,0,0,0,0.5,0.33,0,0.2,0,0,0,0,0,0.33,0,0.25,0.5,0,0,0,0.25,0.2,0,0.08,0,0.14,0.25,0.2,0,0,0,0,0.08,0,0.14,0,0,0,0.25,0.33,0,0.09,1,0.94,1,0.5,0.75,0.75,0,0.6,1,0,0.5,0.71,0,0,0,0,0.56,0.56,0.67,0.86,0,0,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.2,0.33,0,0,0,0,0,0,0,0,0,0,0,0.12,0.1,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0.6,0.17,0.2,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,1,0.86,0.67,0.67
"bin_m1.mtb147",0.15,0.38,0.43,0.42,0.31,0.86,0.83,0.36,0.54,0.38,0.38,0.86,0.67,0,0,0,0.67,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.75,0.25,0.75,0,0,0.75,0.5,0.67,0.5,0.33,0.25,0.2,0.4,0,0,0,0.08,0,0,0,0,0.67,1,0,0.17,0,0,0,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0.29,0.17,0,0,0,0,0,0,1,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0.33,0.5,1,0.57,0.67,0.2,0,0,0.14,0,0,0.5,0.67,0,0.2,0,0.17,0,0,0,0.33,0,0.25,0.5,1,0,1,0.31,0.3,0,0.23,0,0.29,0.31,0.3,0.6,0,0,0,0.23,0,0.29,0,1,0.57,0.31,0.33,0,0.09,1,0.56,1,0.5,0.75,0.75,0.33,0.6,1,0,0.17,0.71,1,1,1,1,0.67,0.56,0.67,0.86,0,0,1,0.57,1,0,0,0.83,0.83,0.5,0,0.5,0.33,0,0,0.17,1,0,0.8,0,0,0,0.2,0.33,0,0,0.5,0,0,0,0,0,0,0,0,0.38,0.5,0.33,1,0.33,0,1,1,0.17,1,0,0,0,0,0.6,0.17,0.2,0.73,0.38,0.86,0,0,0,0,0,0.06,0,0,0.03,0,0,0.17,0,0,0,0,0,0,0.25,0,0.2,0,0,0.33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.14,0.14,0,0,0,0,1,1,0.86,0.67,0.67
"bin_m1.mtb2",0.15,0.38,0.43,0.42,0.12,0.86,0.83,0.29,0.31,0.25,0.25,0.86,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0.25,0,0,0.25,0.5,0.67,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.33,0.5,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,1,0.5,0,0,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.22,0.5,1,0.14,0.67,0,0,0,0,0,0,0.5,0.67,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.1,0,0.04,0,0.07,0.31,0.1,0.6,0,0,0,0.04,0,0.07,0,1,0.43,0.31,0.67,0,0.09,0.88,0.94,1,0.5,0.5,0.75,0.33,0.6,1,0,0.33,0.43,0.38,1,0.5,1,0.33,0.33,0.67,0.57,0,0,1,0.43,0.5,0,0,1,0.17,0.5,0,0.5,0.33,0,0,0,0.75,0,0.6,0,0,0,0.2,0.33,0,0,0,0,0,0,0,0,0,0,0,0.12,0.1,0,0,0.25,0,0.16,0,0.17,0,0,0,0,0,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.17,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0.6,0.57,0.44,0.67
"bin_m1.mxb107_sub",0.07,0.15,0,0.08,0.12,0.14,0.83,0.21,0.15,0.12,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0.25,0,0.2,0,0.12,0.33,0.5,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0.11,0,0.33,0,0.33,0.2,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.33,0,0.5,0,0.25,0.67,0,0.5,0,0.33,0,0.12,0,0.1,0.33,0,0,0,0,0,0,0,0.14,0,0,0,0.22,0,0,0,0,0,0,0,0,0.12,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.1,0.1,0,0,0,0,0,0,1,0.5,0.17,0,0.33,0.25,0.2,0.2,0.2,0,0.2,0.09,0,0.29,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.29,0.11,0
"bin_m1.vmb35",0.81,0.85,0.71,0.42,0.25,0.86,0.83,0.5,0.77,0.88,0.12,0.71,0.5,0,0,0,0.33,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.08,0,0.33,0.01,0,0.33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,1,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0.11,0.5,0.67,0.29,0.33,0,0,0,0,0,0,0.25,0.67,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0.38,0.6,0,0.08,0.08,0.14,0.38,0.6,0.4,0,0.75,0,0.08,0.08,0.14,0,0.67,0.43,0.38,0,0,0,1,1,1,1,1,1,0.33,0.6,0,0,0.17,0.57,0.25,0,0.4,0,0.78,0.56,0.83,0.86,0,0,0.67,0.43,0,0,1,0.06,0.17,0.5,0,0.5,0,0,0,0,0.25,0,0.4,0,0,0,0.2,0.33,0,0,0,0,0,0,0,0.12,0.12,0.1,0.1,0,0,0,0,0.25,0,0.16,0,0.5,0,0,0,0,0,1,0.33,0.4,0,0,0,0,0,0.22,0,0,0.11,0,0,0.03,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6,0.43,0.56,1
"bin_m1.vmb46",0.07,0.31,0.43,0.75,0.25,0.86,0.83,0.29,0.38,0.25,0,0.86,0.83,0,0,0,0.67,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.2,0.2,0.04,0,0,0.08,0.33,0,0,0,0.67,1,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0.5,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.5,0,0,0.22,0.5,0.67,0.29,0.33,0.4,0.14,0,0,0.14,0.14,0.25,0.67,0,0.2,0,0,0,0,0,0.33,0,0.25,0.5,1,1,0,0.19,0.1,0,0.19,0,0.21,0.19,0.1,0.6,0,0,0,0.19,0,0.21,0,1,0.57,0.19,0.33,0,0.09,1,1,1,0.5,0.75,0.75,0.67,0.6,1,0,0.5,0.57,1,1,1,1,0.67,0.56,0.67,0.71,0,0,1,0.57,1,0,0,0.83,0.75,0.5,0,0.5,0,0,0,0.17,1,0,0.8,0,0,0,0.2,0.33,0,0,0.5,0,0,0,0,0,0,0,0,0.75,0.75,0.67,1,1,0.33,1,0.5,0.17,0,0.33,0.25,0.2,0.2,0.6,0.33,0.2,0.55,0.46,0,0,0,0,0,0,0,0,0,0.03,0,0,0.17,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0.8,0.71,0.56,0.67
"bin_m10.cct0",0,0,0.29,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.33,0.14,0,0,0,0,0,0,0,0,0.33,0,0.2,0,0,0,0,0,0.33,0,0.25,0.5,0,0,0,0.44,0.3,0,0.08,0,0.14,0.44,0.3,0.6,0,0,0,0.08,0,0.14,0,1,0.43,0.44,0.67,0,0.09,0.78,0.89,1,0,0.75,0.75,0,0.8,0,0,0.5,0.71,1,1,1,1,0.56,0.67,0.67,0.71,0,0,1,0.43,1,0,0,1,0.17,0.5,0,0.5,0.33,0,0,0,0.75,0,0.6,0,0,0,0.2,0.33,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.34,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.8,0.71,0.56,0.67
"bin_m10.cct151",0.07,0.15,0.43,0.42,0.06,0,1,0.21,0.23,0.25,0,0.14,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.11,0.5,0.67,0.14,0.33,0,0,0,0,0,0,0.25,0.33,0.33,0.6,0,0,0,0,0,0.33,0,0.25,0.5,0,1,0,0.62,0.8,0,0.15,0.23,0.29,0.62,0.8,0,0,0.75,0,0.15,0.23,0.29,0,0,0,0.62,0.33,0.2,0.18,0.88,0.56,1,1,0.75,1,0.33,0.2,0.5,0,0.5,0.29,0.25,0,0.2,0,0.44,0.44,0.67,0.71,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.33,0,0,0,0,0,0,0,0,0,0,0,0.62,0.45,0.67,0,1,0,1,0.75,0.5,0,1,0.75,0.6,0.8,0.8,0.5,0.2,0.09,0,0.14,0,0.18,0.33,0,0,0.11,0,0,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,1,0.71,0.67,0.67
"bin_m10.cct29",0.07,0.23,0.43,0.42,0.12,0.86,0.83,0.29,0.38,0.25,0,0.14,0.67,0,0,0,0.33,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.14,0.17,0,0,0,1,0.33,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.11,0.5,0.67,0.14,0.33,0,0,0,0,0,0,0.5,0.33,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.3,0,0.04,0,0.14,0.12,0.3,0.6,0,0,0,0.04,0,0.14,0,1,0.43,0.12,0,0,0,0.5,0.72,1,0.5,0.25,0.5,0.33,0.4,0.5,0,0,0.43,1,0,0.8,0.33,0.44,0.33,0.5,0.57,0,0,1,0.43,0.5,0,0,0.42,0.83,0.5,0,0.5,0.33,0,0,0,0.38,0,0.4,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0.62,0.55,0.5,0.5,0,0,0.34,0.25,0.17,0,0.33,0.25,0.2,0.2,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.03,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.14,0.22,0.67
