"","D01","D02","D03","D04","D05","D06","D07","D08","D09","B01","B09","B02","B10","B03","B04","B05","B06","B07","B12","B11","B08"
"bin_m1.cct123",0.0253846153846154,0.0423076923076923,0,0.01,0.036,0,0.134615384615385,0.745454545454545,0,0.67,0.342857142857143,0.872,0.921666666666667,0.709090909090909,0.0663636363636364,0.1,0.518888888888889,0.0358333333333333,0.114285714285714,0.0285714285714286,0.833333333333333
"bin_m1.mtb106",0.48,0.174230769230769,0,0.05625,0.188666666666667,0,0.403846153846154,0.0909090909090909,0.175,0.718,0.428571428571429,0.3208,0.866666666666667,0.402121212121212,0.0481818181818182,0.02,0.182962962962963,0.0231666666666667,0.0857142857142857,0.0285714285714286,0.811666666666667
"bin_m1.mtb147",0.536153846153846,0.492692307692308,0.37,0.01,0.242,0.04,0.341538461538462,0.0909090909090909,0.416666666666667,0.799,0.414285714285714,0.764,0.76,0.733333333333333,0.0936363636363636,0.02,0.508518518518518,0.0531666666666667,0.0571428571428571,0.108571428571429,0.811666666666667
"bin_m1.mtb2",0.519230769230769,0.309230769230769,0,0.01,0.170666666666667,0.004,0.573076923076923,0.0909090909090909,0.25,0.799,0.0857142857142857,0.7136,0.821666666666667,0.666060606060606,0.0572727272727273,0.02,0.23,0.0368333333333333,0.0857142857142857,0.0285714285714286,0.696666666666667
"bin_m1.mxb107_sub",0.503076923076923,0.294230769230769,0.19,0.135,0.153333333333333,0.0388,0.176923076923077,0.409090909090909,0.258333333333333,0.642,0.285714285714286,0.54,0.841666666666667,0.582727272727273,0.0363636363636364,0.108,0.497407407407407,0.0378333333333333,0.0571428571428571,0.0285714285714286,0.783333333333333
"bin_m1.vmb35",0.662307692307692,0.272307692307692,0,0.0525,0.113333333333333,0.0056,0.327692307692308,0.0909090909090909,0.166666666666667,0.588,0.0714285714285714,0.7088,1,0.463333333333333,0.0481818181818182,0.108,0.238888888888889,0.0218333333333333,0.114285714285714,0.0285714285714286,0.513333333333333
"bin_m1.vmb46",0.508461538461538,0.118076923076923,0.08,0.05625,0.232666666666667,0.0116,0.204615384615385,0.0909090909090909,0.258333333333333,0.592,0.428571428571429,0.6824,0.85,0.736969696969697,0.0936363636363636,0.02,0.482962962962963,0.0288333333333333,0.0571428571428571,0.0285714285714286,0.716666666666667
"bin_m10.cct0",0.128461538461538,0.0807692307692308,0,0.01,0.102,0.0268,0.323076923076923,0.0909090909090909,0.333333333333333,0.354,0.442857142857143,0.7448,0.763333333333333,0.692424242424242,0.102727272727273,0.02,0.156666666666667,0.0246666666666667,0.0857142857142857,0.0285714285714286,0.633333333333333
"bin_m10.cct151",0.304615384615385,0.114615384615385,0,0.01,0.06,0.004,0.0584615384615385,0.336363636363636,0.0916666666666667,0.573,0.428571428571429,0.8472,0.915,0.346363636363636,0.0572727272727273,0.02,0.636666666666667,0.0278333333333333,0.0857142857142857,0.0285714285714286,0.811666666666667
"bin_m10.cct29",0.561538461538462,0.368461538461538,0.1,0.01,0.133333333333333,0.0444,0.365384615384615,0.145454545454545,0.158333333333333,0.692,0.185714285714286,0.7312,0.891666666666667,0.789393939393939,0.127272727272727,0.02,0.454074074074074,0.0308333333333333,0.114285714285714,0.0285714285714286,0.7
