"","xx","me","lo","hi","Function"
"1","0",0.216213957624973,0.175725094701718,0.244956171419871,"Antibiotic_degradation_CR"
"2","7",0.28997798262547,0.263956309800821,0.305894260580141,"Antibiotic_degradation_CR"
"3","19",0.254224749770016,0.23240775614444,0.269725705146228,"Antibiotic_degradation_CR"
"4","33",0.236985775579797,0.1969082866124,0.263827898812656,"Antibiotic_degradation_CR"
"5","45",0.252564316868742,0.221566961056761,0.274346062938187,"Antibiotic_degradation_CR"
"11","0",0.0138925228800813,0.00626347061133105,0.0272845007265488,"Xenobiotic_degradation_CR"
"21","7",0.0302626101737126,0.0214504460046072,0.0374192870768288,"Xenobiotic_degradation_CR"
"31","19",0.0469089761168064,0.0326925338359718,0.062286456126016,"Xenobiotic_degradation_CR"
"41","33",0.0258168274704385,0.0127674033889074,0.0428661383858604,"Xenobiotic_degradation_CR"
"51","45",0.0339445443979446,0.022002937795423,0.0479335721531168,"Xenobiotic_degradation_CR"
"12","0",0.300626531410595,0.256881977061306,0.334912252665139,"Alcohol_degradation_CR"
"22","7",0.453551809753895,0.384317598483424,0.507760331305705,"Alcohol_degradation_CR"
"32","19",0.455096528756022,0.38625815063034,0.50921297285961,"Alcohol_degradation_CR"
"42","33",0.315610971610815,0.241544804077377,0.376833050670158,"Alcohol_degradation_CR"
"52","45",0.408304069699405,0.327297321122811,0.471222945875768,"Alcohol_degradation_CR"
"13","0",0.122677056758317,0.105367802643617,0.135116643264566,"Nitrogen_compound_degradation_CR"
"23","7",0.270349146122723,0.216003633906294,0.329697034397297,"Nitrogen_compound_degradation_CR"
"33","19",0.253158484941147,0.202446869326222,0.311950374485234,"Nitrogen_compound_degradation_CR"
"43","33",0.14310386803193,0.128188649933347,0.159082424782268,"Nitrogen_compound_degradation_CR"
"53","45",0.207320253057045,0.170642336150654,0.254971673391085,"Nitrogen_compound_degradation_CR"
"14","0",0.272335027701569,0.243814857611592,0.298269337307495,"Amino_acid_degradation_CR"
"24","7",0.390578470239116,0.337469398069411,0.448649912256389,"Amino_acid_degradation_CR"
"34","19",0.414093668946923,0.361620179439052,0.457772094181124,"Amino_acid_degradation_CR"
"44","33",0.288027071040116,0.256082160160839,0.315746413195162,"Amino_acid_degradation_CR"
"54","45",0.360038449430973,0.301840412008744,0.412433367082391,"Amino_acid_degradation_CR"
"15","0",0.204299816590295,0.139766960661474,0.26513410769508,"Sugar_degradation_CR"
"25","7",0.277971683424732,0.236188009066821,0.317766678828495,"Sugar_degradation_CR"
"35","19",0.218712113122603,0.178683604365489,0.279066155002354,"Sugar_degradation_CR"
"45","33",0.224808172994978,0.174236496758535,0.271423539842994,"Sugar_degradation_CR"
"55","45",0.228982117508963,0.189290258881419,0.268068076920633,"Sugar_degradation_CR"
"16","0",0.21751139772315,0.16827291848104,0.24931028311861,"Polysaccharide_degradation_CR"
"26","7",0.219090882525342,0.197219536114351,0.241152882835948,"Polysaccharide_degradation_CR"
"36","19",0.183205385629418,0.163775179190315,0.205351163134313,"Polysaccharide_degradation_CR"
"46","33",0.212311904475036,0.169564959486908,0.240772536040776,"Polysaccharide_degradation_CR"
"56","45",0.199478769429942,0.173790209502518,0.223126570908762,"Polysaccharide_degradation_CR"
