"","sample_id","diversity","individual_id","treatment","cage","sex","species"
"1","M10_COLD",94.2483409749332,"M10","Cold",1,"MALE","AS"
"2","M10_DIET",125.331802663615,"M10","Diet",1,"MALE","AS"
"3","M10_HEAT",93.1791275677955,"M10","Heat",1,"MALE","AS"
"4","M10_POST",89.4362692348572,"M10","Acc",1,"MALE","AS"
"5","M10_PRE",73.7476517361379,"M10","Day1",1,"MALE","AS"
"6","M11_COLD",91.1487988601628,"M11","Cold",3,"FEMALE","AS"
"7","M11_DIET",78.231100724895,"M11","Diet",3,"FEMALE","AS"
"8","M11_HEAT",108.859022867189,"M11","Heat",3,"FEMALE","AS"
"9","M11_POST",123.061799771121,"M11","Acc",3,"FEMALE","AS"
"10","M11_PRE",118.957980636671,"M11","Day1",3,"FEMALE","AS"
"11","M12_DIET",30.3683512692735,"M12","Diet",4,"MALE","AS"
"12","M12_HEAT",73.355901223585,"M12","Heat",4,"MALE","AS"
"13","M12_POST",53.1157569025842,"M12","Acc",4,"MALE","AS"
"14","M12_PRE",76.2999799499433,"M12","Day1",4,"MALE","AS"
"15","M13_COLD",48.1969135700646,"M13","Cold",4,"MALE","AS"
"16","M13_DIET",76.1166646836786,"M13","Diet",4,"MALE","AS"
"17","M13_HEAT",77.9127906700136,"M13","Heat",4,"MALE","AS"
"18","M13_POST",63.7740317653909,"M13","Acc",4,"MALE","AS"
"19","M13_PRE",58.4495791660589,"M13","Day1",4,"MALE","AS"
"20","M14_COLD",46.281789717727,"M14","Cold",4,"MALE","AS"
"21","M14_DIET",31.2173468221864,"M14","Diet",4,"MALE","AS"
"22","M14_HEAT",74.4968667270678,"M14","Heat",4,"MALE","AS"
"23","M14_POST",93.7998082415508,"M14","Acc",4,"MALE","AS"
"24","M14_PRE",64.7459324909931,"M14","Day1",4,"MALE","AS"
"25","M15_COLD",44.1492714151116,"M15","Cold",4,"MALE","AS"
"26","M15_DIET",37.1320506393304,"M15","Diet",4,"MALE","AS"
"27","M15_HEAT",38.4516182059418,"M15","Heat",4,"MALE","AS"
"28","M15_POST",106.08952415236,"M15","Acc",4,"MALE","AS"
"29","M15_PRE",62.9683574436868,"M15","Day1",4,"MALE","AS"
"30","M16_COLD",101.630766873644,"M16","Cold",3,"FEMALE","AS"
"31","M16_DIET",72.5468117246555,"M16","Diet",3,"FEMALE","AS"
"32","M16_HEAT",74.0783186531465,"M16","Heat",3,"FEMALE","AS"
"33","M16_POST",64.114986485087,"M16","Acc",3,"FEMALE","AS"
"34","M16_PRE",66.6965373898123,"M16","Day1",3,"FEMALE","AS"
"35","M17_COLD",83.0997060998937,"M17","Cold",3,"FEMALE","AS"
"36","M17_DIET",45.0779227607471,"M17","Diet",3,"FEMALE","AS"
"37","M17_HEAT",83.2595858683564,"M17","Heat",3,"FEMALE","AS"
"38","M17_POST",74.4592174716822,"M17","Acc",3,"FEMALE","AS"
