"","B01","B02","B03","B04","B08","B06","B07","B09","B10","D01","D02","D03","D04","D05","D06","D07","D08","D09"
"bin_m1.cct123",0.921666666666667,0.715625,0.0666666666666667,0.67,0.604545454545454,0.876923076923077,0.521538461538462,0,0.0161904761904762,0,0.0253846153846154,0.05,0.01,0.364166666666667,0.272727272727273,0.159090909090909,0,0
"bin_m1.mtb106",0.823333333333333,0.335,0.0333333333333333,0.714444444444444,0.574545454545455,0.233461538461538,0.09,0,0,0,0.410769230769231,0.1665,0.05625,0.115555555555556,0.105909090909091,0.431818181818182,0,0.181818181818182
"bin_m1.mtb147",0.76,0.728125,0.116666666666667,0.761666666666667,0.574545454545455,0.737692307692308,0.470384615384615,0.08,0.0319047619047619,0.37,0.505384615384615,0.5505,0.01,0.253611111111111,0.135909090909091,0.394545454545455,0.0476190476190476,0.454545454545455
"bin_m1.mtb2",0.761666666666667,0.599375,0.0333333333333333,0.761666666666667,0.315454545454545,0.674615384615385,0.0996153846153846,0,0.0214285714285714,0,0.434615384615385,0.267,0.01,0.125277777777778,0.0754545454545455,0.659090909090909,0,0.272727272727273
"bin_m1.vmb35",1,0.4528125,0.0333333333333333,0.518888888888889,0.254545454545455,0.648846153846154,0.171153846153846,0,0.0080952380952381,0,0.631538461538461,0.304,0.0525,0.316666666666667,0.0454545454545455,0.378181818181818,0.00666666666666667,0.181818181818182
"bin_m1.vmb46",0.833333333333333,0.70375,0.116666666666667,0.55,0.52,0.676153846153846,0.455384615384615,0,0.0080952380952381,0.08,0.47,0.1085,0.05625,0.238055555555556,0.135909090909091,0.196363636363636,0.0138095238095238,0.272727272727273
"bin_m10.cct0",0.695,0.5996875,0.116666666666667,0.245555555555556,0.429090909090909,0.704615384615385,0.0357692307692308,0,0.0080952380952381,0,0.0284615384615385,0,0.01,0.232777777777778,0.015,0.363636363636364,0.0271428571428571,0.363636363636364
"bin_m10.cct151",0.865,0.2571875,0.0333333333333333,0.499444444444444,0.574545454545455,0.756923076923077,0.541923076923077,0,0,0,0.227692307692308,0.054,0.01,0.275,0.0909090909090909,0.0145454545454545,0,0.0909090909090909
"bin_m10.cct54_sub",0.32,0.1740625,0.116666666666667,0.471666666666667,0.09,0.135384615384615,0.0846153846153846,0,0,0,0.0476923076923077,0.0625,0,0.105,0.181818181818182,0.25,0,0.181818181818182
"bin_m10.cct7_sub",0,0.0159375,0,0.424444444444444,0.0545454545454545,0.106153846153846,0.0161538461538462,0,0,0,0.0253846153846154,0,0,0.138888888888889,0,0.0145454545454545,0,0
"bin_m10.mtb109",1,0.578125,0.0333333333333333,0.518888888888889,0.604545454545454,0.738461538461539,0.601538461538462,0,0.0080952380952381,0.064,0.303076923076923,0.354,0.01,0.358333333333333,0.0909090909090909,0.0827272727272727,0,0.0909090909090909
"bin_m10.mtb12",0.906666666666667,0.4028125,0.0333333333333333,0.471666666666667,0.543636363636364,0.631153846153846,0.526538461538462,0,0.0080952380952381,0.064,0.414615384615385,0.0915,0.01,0.358333333333333,0.181818181818182,0.400909090909091,0,0.0909090909090909
"bin_m10.mtb135",1,0.7203125,0.0333333333333333,0.499444444444444,0.604545454545454,0.738461538461539,0.526538461538462,0,0.0080952380952381,0.064,0.562307692307692,0.25,0.01,0.288888888888889,0.181818181818182,0.400909090909091,0.00666666666666667,0.181818181818182
"bin_m10.mtb158",0.815,0.2875,0.116666666666667,0.471666666666667,0.52,0.468461538461538,0.101923076923077,0,0,0,0.335384615384615,0.025,0.05625,0.250277777777778,0.015,0.613636363636364,0,0.181818181818182
"bin_m10.mtb180",0.823333333333333,0.5621875,0.0333333333333333,0.55,0.465454545454545,0.655384615384615,0.117307692307692,0,0,0.2,0.293076923076923,0.1665,0.05625,0.173611111111111,0.105909090909091,0.477272727272727,0.00666666666666667,0
"bin_m10.mtb18_sub",0.823333333333333,0.2715625,0.116666666666667,0.714444444444444,0.574545454545455,0.233461538461538,0.09,0,0,0.2,0.439230769230769,0.1665,0.01,0.282222222222222,0,0.431818181818182,0,0.272727272727273
"bin_m10.mtb200",0.99,0.645,0.0333333333333333,0.499444444444444,0.604545454545454,0.738461538461539,0.526538461538462,0,0.0080952380952381,0,0.466923076923077,0.2375,0.01,0.261111111111111,0.0909090909090909,0.423636363636364,0,0
"bin_m10.mtb203",0.761666666666667,0.505,0,0.518888888888889,0.459090909090909,0.690769230769231,0.171538461538462,0,0,0,0.226153846153846,0,0.01,0.125,0,0.196363636363636,0,0
"bin_m10.mtb248",0.823333333333333,0.496875,0.0333333333333333,0.245555555555556,0.574545454545455,0.273461538461538,0.163076923076923,0,0,0,0.274615384615385,0.4,0.01,0.166944444444444,0.015,0.477272727272727,0,0.181818181818182
"bin_m10.mtb37",0.795,0.3328125,0.116666666666667,0.646666666666667,0.574545454545455,0.582692307692308,0.474615384615385,0,0.0080952380952381,0.08,0.119230769230769,0.0625,0,0.422777777777778,0.0909090909090909,0.0145454545454545,0.00666666666666667,0
"bin_m10.mtb58",0.815,0.69375,0.2,0.667222222222222,0.424545454545455,0.656153846153846,0.451923076923077,0,0.0295238095238095,0,0.584615384615385,0.504,0.01,0.245277777777778,0.03,0.06,0.0133333333333333,0.272727272727273
"bin_m10.mtb70",0.823333333333333,0.230625,0.0333333333333333,0.714444444444444,0.279090909090909,0,0.0903846153846154,0,0,0,0.0715384615384615,0.0125,0.05625,0.0461111111111111,0.0909090909090909,0.431818181818182,0,0
"bin_m10.mtb71",0.823333333333333,0.6603125,0.2,0.518888888888889,0.52,0.685384615384615,0.130769230769231,0,0.0080952380952381,0.2,0.463076923076923,0.267,0.01,0.194722222222222,0.0904545454545455,0.613636363636364,0.0271428571428571,0.272727272727273
"bin_m10.mtb86",0.856666666666667,0.445,0.0333333333333333,0.518888888888889,0.543636363636364,0.661538461538462,0.496538461538462,0,0.0080952380952381,0.064,0.470769230769231,0.1375,0.01,0.330555555555556,0.136363636363636,0.219090909090909,0,0.0909090909090909
"bin_m10.mxb17",0.823333333333333,0.661875,0.0333333333333333,0.518888888888889,0.52,0.608461538461538,0.130769230769231,0,0.0214285714285714,0.2,0.434615384615385,0.267,0.01,0.194722222222222,0.0904545454545455,0.613636363636364,0.0271428571428571,0.0909090909090909
"bin_m10.mxb39",0,0,0,0.424444444444444,0.0545454545454545,0.0292307692307692,0.0161538461538462,0,0,0,0.0253846153846154,0.0125,0,0.138888888888889,0,0.0145454545454545,0,0
"bin_m10.mxb49",0.813333333333333,0.5353125,0.0333333333333333,0.518888888888889,0.574545454545455,0.648846153846154,0.507692307692308,0,0,0.064,0.627692307692308,0.204,0,0.358333333333333,0,0.264545454545455,0,0.181818181818182
"bin_m10.mxb52",0.99,0.2809375,0.0333333333333333,0.499444444444444,0.424545454545455,0.776923076923077,0.386153846153846,0,0.0080952380952381,0,0.584615384615385,0.0875,0.01,0.302222222222222,0.227272727272727,0.378181818181818,0.00666666666666667,0.0909090909090909
"bin_m10.mxb53",0.945,0.3896875,0.0333333333333333,0.518888888888889,0.52,0.661538461538462,0.573076923076923,0,0.0080952380952381,0,0.390769230769231,0.1875,0,0.315277777777778,0.0454545454545455,0.0145454545454545,0,0
"bin_m10.mxb56_sub",0.898333333333333,0.9378125,0.233333333333333,0.908333333333333,0.65,0.983846153846154,0.809615384615385,0,0.0214285714285714,0.466,0.532307692307692,0.8625,0.01,0.779444444444444,0.511363636363636,0.727272727272727,0.125238095238095,0.272727272727273
"bin_m10.mxb87_sub",0.743333333333333,0.2759375,0.0333333333333333,0.714444444444444,0.574545454545455,0.233461538461538,0.122307692307692,0,0,0,0.305384615384615,0.0165,0.01,0.0877777777777778,0.015,0.431818181818182,0,0.181818181818182
"bin_m10.vmb1",0.688333333333333,0.68375,0.0333333333333333,0.761666666666667,0.429090909090909,0.719230769230769,0.456153846153846,0.08,0.0080952380952381,0.24,0.522307692307692,0.4585,0.01,0.2175,0.102272727272727,0.530909090909091,0.00666666666666667,0.181818181818182
"bin_m10.vmb10",0.698333333333333,0.353125,0.0833333333333333,0.499444444444444,0.309090909090909,0.738461538461539,0.426923076923077,0,0.0080952380952381,0,0.546923076923077,0.379,0.0525,0.140555555555556,0.136363636363636,0.06,0,0.181818181818182
"bin_m10.vmb106",1,0.6465625,0.0333333333333333,0.443888888888889,0.55,0.648846153846154,0.684230769230769,0,0.0080952380952381,0,0.569230769230769,0.454,0.01,0.261111111111111,0.0909090909090909,0.0145454545454545,0,0
"bin_m10.vmb116",0.963333333333333,0.488125,0,0.563333333333333,0.489090909090909,0.517307692307692,0.445769230769231,0,0,0.064,0.273076923076923,0.0625,0,0.242777777777778,0.0454545454545455,0.0372727272727273,0,0
"bin_m10.vmb122",0.823333333333333,0.35625,0.0333333333333333,0.424444444444444,0.465454545454545,0.564615384615385,0.105,0,0,0,0.280769230769231,0,0.01,0.0972222222222222,0.015,0.196363636363636,0.00666666666666667,0.181818181818182
"bin_m10.vmb141",0.963333333333333,0.80875,0.15,0.265,0.954545454545455,0.903076923076923,0.476923076923077,0,0.0080952380952381,0.304,0.250769230769231,0.0625,0.01,0.233611111111111,0.284090909090909,0.386363636363636,0.00952380952380952,0.0909090909090909
"bin_m10.vmb15",0.981666666666667,0.315,0.0333333333333333,0.518888888888889,0.574545454545455,0.756923076923077,0.607307692307692,0,0.0080952380952381,0.064,0.308461538461538,0.0915,0.01,0.441666666666667,0,0.0372727272727273,0,0.0909090909090909
"bin_m10.vmb163_sub",0.65,0.480625,0.0333333333333333,0.471666666666667,0.424545454545455,0.690769230769231,0.0688461538461538,0,0,0,0.447692307692308,0.3045,0.05625,0.0183333333333333,0.105909090909091,0.431818181818182,0,0.181818181818182
